Attribute,Value
Symbol,BBY
Name,"Best Buy Co., Inc."
Industry,Specialty Retail
Sector,Consumer Cyclical
Country,United States
Market Cap,15622427648
Description,"Best Buy Co., Inc. offers technology products and solutions in the United States, Canada, and internationally. It provides computing and mobile phone products, such as desktops, notebooks, and peripherals; mobile phones comprising related mobile network carrier commissions; networking products; tablets covering e-readers; smartwatches; and consumer electronics consisting of digital imaging, health and fitness products, portable audio comprising headphones and portable speakers, and smart home products, as well as home theaters that includes home theater accessories, soundbars, and televisions. The company's stores also offer appliances, such as dishwashers, laundry, ovens, refrigerators, blenders, coffee makers, vacuums, and personal care; entertainment products consisting of drones, peripherals, movies, and toys, as well as hardware and software, and virtual reality and other software products; and other products, such as baby, food and beverage, luggage, and outdoor living products. In addition, it provides delivery, installation, memberships, repair, set-up, technical support, health-related, and warranty-related services. The company offers its products through stores and websites under the Best Buy, Best Buy Ads, Best Buy Business, Best Buy Essentials, Best Buy Health, Current Health, Geek Squad, Imagine That, Insignia, Lively, My Best Buy, My Best Buy Memberships, Pacific Kitchen, Home, TechLiquidators, and Yardbird brand names, as well as domain names comprising bestbuy.com, currenthealth.com, lively.com, techliquidators.com, yardbird.com, bestbuy.ca, and techliquidators.ca. The company was formerly known as Sound of Music, Inc. Best Buy Co., Inc. was incorporated in 1966 and is headquartered in Richfield, Minnesota."
Website,https://bestbuy.com
Full Time Employees,85000
Currency,USD
Previous Close,72.84
Open,73.42
Bid,72.0
Ask,74.18
Day's Range,72.6655 - 73.879
52 Week Range,54.99 - 103.71
Volume,2103023
Avg. Volume,4190088
Market Cap (intraday),15622427648
Beta (5Y Monthly),1.296
PE Ratio (TTM),17.24299
EPS (TTM),4.28
Earnings Date,1748521800
Forward Dividend & Yield,3.8 (5.15)
Ex-Dividend Date,1742860800
1y Target Est,86.29818
