Attribute,Value
Symbol,UPS
Name,"United Parcel Service, Inc."
Industry,Integrated Freight & Logistics
Sector,Industrials
Country,United States
Market Cap,85871943680
Description,"United Parcel Service, Inc., a package delivery and logistics provider, offers transportation and delivery services. It operates through two segments, U.S. Domestic Package and International Package. The U.S. Domestic Package segment offers time-definite delivery services for express letters, documents, packages and palletized freight through air and ground services in the United States. The International Package segment provides small package operations in Europe, the Indian sub-continent, the Middle East and Africa, Canada and Latin America, and Asia. The company offers a range of guaranteed day- and time-definite international shipping services; day-definite services; cross-border ground package delivery; contract-only, e-commerce solutions for non-urgent, and cross-border shipments; and international service for urgent and palletized shipments. It also provides international air and ocean freight forwarding, contract logistics, custom brokerage and insurance, mail services, healthcare logistics, distribution, and post-sales services. United Parcel Service, Inc. was founded in 1907 and is headquartered in Atlanta, Georgia."
Website,https://www.ups.com
Full Time Employees,490000
Currency,USD
Previous Close,100.35
Open,101.275
Bid,100.95
Ask,101.0
Day's Range,100.36 - 101.58
52 Week Range,90.55 - 149.57
Volume,4816792
Avg. Volume,6294055
Market Cap (intraday),85871943680
Beta (5Y Monthly),1.212
PE Ratio (TTM),14.791241
EPS (TTM),6.85
Earnings Date,1753792200
Forward Dividend & Yield,6.56 (6.47)
Ex-Dividend Date,1747612800
1y Target Est,115.85094
