Attribute,Value
Symbol,TDY
Name,Teledyne Technologies Incorpora
Industry,Scientific & Technical Instruments
Sector,Technology
Country,United States
Market Cap,23390756864
Description,"Teledyne Technologies Incorporated provides enabling technologies for industrial growth markets in the United States and internationally. Its Digital Imaging segment provides visible spectrum sensors and digital cameras; and infrared, ultraviolet, visible, and X-ray spectra; as well as micro electromechanical systems and semiconductors, including analog-to-digital and digital-to-analog converters. This segment offers cooled and uncooled infrared or thermal products, including sensors, camera cores, and camera systems; high-resolution, low-dose X-ray sensors, high-power microwave, and high-energy X-ray subsystems; and instruments for the measurement of physical properties and maritime products; as well as develops and manufactures multi-spectrum electro-optic/infrared imaging systems and associated products, such as lasers, optics, and radars, CBRNE (Chemical, Biological, Radiological, Nuclear and Explosive detectors), and unmanned air and ground systems. The company's Instrumentation segment offers monitoring, control, and electronic test and measurement equipment; and power and communications connectivity devices for distributed instrumentation systems and sensor networks. The company's Aerospace and Defense Electronics segment provides electronic components and subsystems, data acquisition and communications components and equipment, harsh environment interconnects, general aviation batteries, and other components; and onboard avionics systems and ground-based applications, aircraft data and connectivity solutions, hardware systems, and software applications. Its Engineered Systems segment offers systems engineering and integration, technology development, and manufacturing solutions for defense, space, environmental, and energy applications; and designs and manufactures electrochemical energy systems and electronics for military applications. The company was founded in 1960 and is headquartered in Thousand Oaks, California."
Website,https://www.teledyne.com
Full Time Employees,14900
Currency,USD
Previous Close,496.2
Open,496.4
Bid,467.95
Ask,525.0
Day's Range,494.5603 - 499.43
52 Week Range,380.63 - 522.5
Volume,338387
Avg. Volume,309595
Market Cap (intraday),23390756864
Beta (5Y Monthly),1.066
PE Ratio (TTM),28.572985
EPS (TTM),17.47
Earnings Date,1745405700
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,557.13544
