Attribute,Value
Symbol,WMT
Name,Walmart Inc.
Industry,Discount Stores
Sector,Consumer Defensive
Country,United States
Market Cap,786007392256
Description,"Walmart Inc. engages in the operation of retail and wholesale stores and clubs, eCommerce websites, and mobile applications worldwide. The company operates through three segments: Walmart U.S., Walmart International, and Sam's Club. It operates supercenters, supermarkets, warehouse clubs, cash and carry stores, and discount stores under Walmart and Walmart Neighborhood Market brands; membership-only warehouse clubs; and ecommerce websites, such as walmart.com.mx, walmart.ca, flipkart.com, PhonePe and other sites. The company also offers grocery items, including dry grocery, snacks, dairy, meat, produce, deli and bakery, frozen foods, alcoholic and nonalcoholic beverages, as well as consumables, such as health and beauty aids, pet supplies, household chemicals, paper goods, and baby products; and fuel and other categories. In addition, it is involved in the provision of health and wellness products covering pharmacy, optical and hearing services, over-the-counter drugs, and protein and nutrition products; and home, hardlines, and seasonal items, including home improvement, outdoor living, gardening, furniture, apparel, jewelry, tools and power equipment, housewares, toys, and mattresses. Further, the company offers consumer electronics and accessories, software, video games, office supplies, appliances, and third-party gift cards. Additionally, it operates digital payment platforms; offers financial services and related products, including money transfers, bill payments, money orders, check cashing, prepaid access, co-branded credit cards, installment lending, and earned wage access; and markets lines of merchandise under private and licensed brands. The company was formerly known as Wal-Mart Stores, Inc. and changed its name to Walmart Inc. in February 2018. Walmart Inc. was founded in 1945 and is based in Bentonville, Arkansas."
Website,https://corporate.walmart.com
Full Time Employees,2100000
Currency,USD
Previous Close,96.35
Open,96.14
Bid,96.51
Ask,97.78
Day's Range,95.995 - 99.1946
52 Week Range,63.87 - 105.3
Volume,29385861
Avg. Volume,24262517
Market Cap (intraday),786007392256
Beta (5Y Monthly),0.699
PE Ratio (TTM),41.982906
EPS (TTM),2.34
Earnings Date,1747306920
Forward Dividend & Yield,0.94 (0.96)
Ex-Dividend Date,1755216000
1y Target Est,107.8835
