Attribute,Value
Symbol,ATO
Name,Atmos Energy Corporation
Industry,Utilities - Regulated Gas
Sector,Utilities
Country,United States
Market Cap,25028229120
Description,"Atmos Energy Corporation, together with its subsidiaries, engages in the regulated natural gas distribution, and pipeline and storage businesses in the United States. It operates through two segments, Distribution, and Pipeline and Storage. The Distribution segment is involved in the regulated natural gas distribution and related sales operations in eight states. This segment distributes natural gas to approximately 3.3 million residential, commercial, public authority, and industrial customers; and owned 73,689 miles of underground distribution and transmission mains. The Pipeline and Storage segment engages in the pipeline and storage operations. This segment transports natural gas for third parties and manages five underground storage facilities in Texas; provides ancillary services customary to the pipeline industry, including parking arrangements, lending, and inventory sales; and owned 5,645 miles of gas transmission lines. Atmos Energy Corporation was founded in 1906 and is headquartered in Dallas, Texas."
Website,https://www.atmosenergy.com
Full Time Employees,5260
Currency,USD
Previous Close,155.97
Open,155.26
Bid,150.0
Ask,164.0
Day's Range,154.96 - 157.68
52 Week Range,110.97 - 167.45
Volume,1203700
Avg. Volume,1106866
Market Cap (intraday),25028229120
Beta (5Y Monthly),0.726
PE Ratio (TTM),22.022346
EPS (TTM),7.16
Earnings Date,1746648000
Forward Dividend & Yield,3.48 (2.21)
Ex-Dividend Date,1748304000
1y Target Est,161.03168
