Attribute,Value
Symbol,AWK
Name,"American Water Works Company, I"
Industry,Utilities - Regulated Water
Sector,Utilities
Country,United States
Market Cap,27800909824
Description,"American Water Works Company, Inc., through its subsidiaries, provides water and wastewater services in the United States. It offers water and wastewater services on military installations; and undertakes contracts with municipal customers, primarily to operate and manage water and wastewater facilities, as well as offers other related services. The company also operates approximately 80 surface water treatment plants; 520 groundwater treatment plants; 190 wastewater treatment plants; 54,500 miles of transmission, distribution, and collection mains and pipes; 1,200 groundwater wells; 1,800 water and wastewater pumping stations; 1,100 treated water storage facilities; and 75 dams. In addition, it offers water and wastewater services to 14 states serving approximately 3.5 million active customers. The company serves residential customers; commercial customers, including food and beverage providers, commercial property developers and proprietors, and energy suppliers; fire service and private fire customers; industrial customers, such as large-scale manufacturers, mining, and production operations; public authorities comprising government buildings and other public sector facilities, such as schools and universities; and other utilities and community water and wastewater systems. American Water Works Company, Inc. was founded in 1886 and is headquartered in Camden, New Jersey."
Website,https://www.amwater.com
Full Time Employees,6700
Currency,USD
Previous Close,140.37
Open,140.59
Bid,142.97
Ask,142.58
Day's Range,140.396 - 143.32
52 Week Range,118.74 - 155.5
Volume,1495051
Avg. Volume,1669844
Market Cap (intraday),27800909824
Beta (5Y Monthly),0.728
PE Ratio (TTM),25.967215
EPS (TTM),5.49
Earnings Date,1753905600
Forward Dividend & Yield,3.31 (2.32)
Ex-Dividend Date,1747094400
1y Target Est,142.24
