Attribute,Value
Symbol,NVR
Name,"NVR, Inc."
Industry,Residential Construction
Sector,Consumer Cyclical
Country,United States
Market Cap,21549826048
Description,"NVR, Inc. operates as a homebuilder in the United States. The company operates through, Homebuilding and Mortgage Banking segments. It engages in the construction and sale of single-family detached homes, townhomes, and condominium buildings under the Ryan Homes, NVHomes, and Heartland Homes names. The company markets its Ryan Homes products to first-time and first-time move-up buyers; and NVHomes and Heartland Homes products to move-up and luxury buyers. It also provides various mortgage related services to its homebuilding customers, as well as brokers title insurance; performs title searches; and sells mortgage loans to investors in the secondary markets on a servicing released basis. The company primarily serves in Maryland, Virginia, West Virginia, Delaware, New Jersey, Eastern Pennsylvania, New York, Ohio, Western Pennsylvania, Indiana, Illinois, North Carolina, Georgia, Kentucky, South Carolina, Florida, Tennessee, and Washington, D.C. NVR, Inc. was founded in 1948 and is headquartered in Reston, Virginia."
Website,https://www.nvrinc.com
Full Time Employees,7000
Currency,USD
Previous Close,7246.62
Open,7253.05
Bid,7312.89
Ask,7332.5
Day's Range,7232.09 - 7370.41
52 Week Range,6562.85 - 9964.77
Volume,17059
Avg. Volume,24684
Market Cap (intraday),21549826048
Beta (5Y Monthly),1.018
PE Ratio (TTM),15.197662
EPS (TTM),484.97
Earnings Date,1745326800
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,7700.0
