Attribute,Value
Symbol,CMI
Name,Cummins Inc.
Industry,Specialty Industrial Machinery
Sector,Industrials
Country,United States
Market Cap,46076297216
Description,"Cummins Inc. offers various power solutions worldwide. It operates through five segments: Engine, Distribution, Components, Power Systems, and Accelera. The company offers diesel and natural gas-powered engines; and drivetrain systems, including axles, drivelines, brakes, and suspension systems; truck, trailer, on- and off-highway, and other products. It also provides aftertreatment technology and solutions comprising custom engineering systems and integrated controls, oxidation catalysts, particulate filters, and selective catalytic reduction systems, as well as engineered components, including dosers; turbochargers, fuel systems, and valvetrain technologies; electronic control modules, sensors, and supporting software; and automated manual transmissions, dual-clutch transmissions, and automatic transmissions for internal combustion engines. In addition, the company sells and offers support services power generation systems, high-horsepower engines, and heavy-duty and medium-duty engines; offers application engineering services, custom-designed assemblies, and inshop and field-based repair services; and retails and wholesales aftermarket parts. Further, it offers standby and prime power generators, controls, paralleling systems, and transfer switches; turnkey solutions for distributed generation and energy management applications using natural gas, diesel, and newer alternative sustainable fuels; diesel and natural gas high-speed, high-horsepower engines; and A/C generator/alternator products. Additionally, the company provides electrified power systems, including batteries, fuel cells, and electric powertrain technologies, as well as hydrogen production technologies. It sells its products to original equipment manufacturers, distributors, dealers, and other customers. The company was formerly known as Cummins Engine Company and changed its name to Cummins Inc. in 2001. Cummins Inc. was founded in 1919 and is headquartered in Columbus, Indiana."
Website,https://www.cummins.com
Full Time Employees,69600
Currency,USD
Previous Close,332.11
Open,332.57
Bid,320.0
Ask,334.82
Day's Range,330.2756 - 335.04
52 Week Range,260.02 - 387.9
Volume,780951
Avg. Volume,963342
Market Cap (intraday),46076297216
Beta (5Y Monthly),1.014
PE Ratio (TTM),16.476849
EPS (TTM),20.3
Earnings Date,1746444600
Forward Dividend & Yield,7.28 (2.18)
Ex-Dividend Date,1747958400
1y Target Est,352.1195
