Attribute,Value
Symbol,CHD
Name,"Church & Dwight Company, Inc."
Industry,Household & Personal Products
Sector,Consumer Defensive
Country,United States
Market Cap,23598262272
Description,"Church & Dwight Co., Inc. develops, manufactures, and markets household, personal care, and specialty products. It operates in three segments: Consumer Domestic, Consumer International, and Specialty Products Division. The company offers cat litters, carpet deodorizers, laundry detergents, and baking soda, as well as other baking soda based products under the ARM & HAMMER brand; condoms, lubricants, and vibrators under the TROJAN brand; stain removers, cleaning solutions, laundry detergents, and bleach alternatives under the OXICLEAN brand; toothbrushes under the SPINBRUSH brand; home pregnancy and ovulation test kits under the FIRST RESPONSE brand; depilatories under the NAIR brand; oral analgesics under the ORAJEL brand; laundry detergents under the XTRA brand; gummy dietary supplements under the L'IL CRITTERS and VITAFUSION brands; dry shampoos under the BATISTE brand; water flossers and showerheads under the WATERPIK brand; cold shortening and relief products under the ZICAM brand; oral care products under the THERABREATH brand; and acne treatment products under the HERO brand. Its specialty products include animal and food productivity products, such as ARM & HAMMER baking soda as a feed additive to help dairy cow; BIO-CHLOR and FERMENTEN used to reduce health issues associated with calving, as well as needed protein; CELMANAX refined functional carbohydrate, a yeast-based prebiotic; and CERTILLUS a probiotics products used in the poultry, dairy, beef, and swine industries. It offers sodium bicarbonate; and cleaning and deodorizing products. The company sells its consumer products through supermarkets, mass merchandisers, wholesale clubs, drugstores, convenience stores, home stores, dollar and other discount stores, pet and other specialty stores, and websites and other e-commerce channels; and specialty products to industrial customers and livestock producers through distributors. The company was founded in 1846 and is headquartered in Ewing, New Jersey."
Website,https://www.churchdwight.com
Full Time Employees,5750
Currency,USD
Previous Close,94.56
Open,94.64
Bid,95.9
Ask,96.84
Day's Range,94.25 - 95.935
52 Week Range,90.99 - 116.46
Volume,2058088
Avg. Volume,2053304
Market Cap (intraday),23598262272
Beta (5Y Monthly),0.545
PE Ratio (TTM),41.124466
EPS (TTM),2.33
Earnings Date,1746096900
Forward Dividend & Yield,1.18 (1.23)
Ex-Dividend Date,1747267200
1y Target Est,99.86909
