Attribute,Value
Symbol,CHTR
Name,"Charter Communications, Inc."
Industry,Telecom Services
Sector,Communication Services
Country,United States
Market Cap,59970519040
Description,"Charter Communications, Inc. operates as a broadband connectivity and cable operator company serving residential and commercial customers in the United States. The company offers subscription-based internet, video, and mobile and voice services; a suite of broadband connectivity services, including fixed internet, WiFi, and mobile; advanced WiFi services; Spectrum internet products; in-home WiFi, which provides customers with high performance wireless routers and managed WiFi services to enhance their wireless internet experience; and out-of-home WiFi and Spectrum WiFi services. It also offers wireline voice communications services using voice over internet protocol technology; and broadband communications solutions, such as internet access, data networking, fiber connectivity, video entertainment, and business telephone services to cellular towers and office buildings for business and carrier organizations. In addition, the company provides mobile services; Audience App to create data-driven linear TV campaigns for local advertisers; and video programming, static IP and business WiFi, voice, and e-mail and security services, as well as sells local advertising across various platforms for networks, such as TBS, CNN, and ESPN; and advertising inventory to local sports and news channels. Further, it offers communications products and managed service solutions; data connectivity services to mobile and wireline carriers on a wholesale basis; and Spectrum community solutions that delivers broadband connectivity solutions to apartments, single-family gated communities, off-campus student housing, senior residences, and RV parks and marinas, as well as owns and operates regional sports networks and news channels. The company was founded in 1993 and is headquartered in Stamford, Connecticut."
Website,https://corporate.charter.com
Full Time Employees,94500
Currency,USD
Previous Close,419.57
Open,423.6
Bid,399.05
Ask,447.15
Day's Range,419.45 - 437.0
52 Week Range,266.06 - 437.06
Volume,3624352
Avg. Volume,1407277
Market Cap (intraday),59970519040
Beta (5Y Monthly),1.111
PE Ratio (TTM),11.917713
EPS (TTM),35.85
Earnings Date,1745578800
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,422.20227
