Attribute,Value
Symbol,LVS
Name,Las Vegas Sands Corp.
Industry,Resorts & Casinos
Sector,Consumer Cyclical
Country,United States
Market Cap,29982224384
Description,"Las Vegas Sands Corp., together with its subsidiaries, owns, develops, and operates integrated resorts in Macao and Singapore. The company owns and operates The Venetian Macao Resort Hotel, The Londoner Macao, The Parisian Macao, The Plaza Macao and Four Seasons Hotel Macao, and The Sands Macao in Macao, the People's Republic of China; and Marina Bay Sands in Singapore. Its integrated resorts feature accommodations, gaming, entertainment and retail malls, convention and exhibition facilities, celebrity chef restaurants, and other amenities. The company was founded in 1988 and is based in Las Vegas, Nevada."
Website,https://www.sands.com
Full Time Employees,39900
Currency,USD
Previous Close,42.14
Open,42.29
Bid,42.42
Ask,42.37
Day's Range,41.83 - 42.48
52 Week Range,30.18 - 56.61
Volume,3978360
Avg. Volume,6169130
Market Cap (intraday),29982224384
Beta (5Y Monthly),0.982
PE Ratio (TTM),23.70391
EPS (TTM),1.79
Earnings Date,1745438705
Forward Dividend & Yield,1.0 (2.36)
Ex-Dividend Date,1746489600
1y Target Est,51.01235
