Attribute,Value
Symbol,WM
Name,"Waste Management, Inc."
Industry,Waste Management
Sector,Industrials
Country,United States
Market Cap,92501524480
Description,"Waste Management, Inc., through its subsidiaries, provides environmental solutions to residential, commercial, industrial, and municipal customers in the United States, Canada, Western Europe, and internationally. It offers collection services, including picking up and transporting waste and recyclable materials from where it was generated to a transfer station, recovery facility, or disposal site; owns and operates transfer stations; and owns, develops, and operates landfill gas-to-energy facilities that produce renewable electricity and renewable natural gas. It also operates materials processing and commodities recycling services, including cardboard, paper, glass, metals, plastics, construction and demolition materials, and other recycling commodities are recovered for resale or redirected for other purposes; recycling brokerage services, such as managing the marketing of recyclable materials for third parties; and other strategic business solutions. In addition, the company collects recyclable food and yard waste, as well as markets and sells mulch, compost, soil amendments, and renewable energy; offers remediation and construction, and industrial waste services; and manages and markets fly ash. Further, it provides Regulated Waste and Compliance Services (RWCS), which offers compliance programs, as well as collection, processing, and disposal of regulated and specialized waste, including medical, pharmaceutical, and hazardous waste; and Secure Information Destruction (SID) services that includes the collection of personal and confidential information for secure destruction and recycling of sorted office paper. The company was formerly known as USA Waste Services, Inc. and changed its name to Waste Management, Inc. in 1998. Waste Management, Inc. was founded in 1968 and is based in Houston, Texas."
Website,https://www.wm.com
Full Time Employees,61700
Currency,USD
Previous Close,228.02
Open,228.03
Bid,229.35
Ask,230.0
Day's Range,227.36 - 229.91
52 Week Range,196.59 - 239.32
Volume,1295440
Avg. Volume,1807076
Market Cap (intraday),92501524480
Beta (5Y Monthly),0.681
PE Ratio (TTM),34.618977
EPS (TTM),6.64
Earnings Date,1745874360
Forward Dividend & Yield,3.3 (1.44)
Ex-Dividend Date,1749168000
1y Target Est,244.672
