Attribute,Value
Symbol,IRM
Name,Iron Mountain Incorporated (Del
Industry,REIT - Specialty
Sector,Real Estate
Country,United States
Market Cap,29684377600
Description,"Iron Mountain Incorporated (NYSE: IRM) is trusted by more than 240,000 customers in 61 countries, including approximately 95% of the Fortune 1000, to help unlock value and intelligence from their assets through services that transcend the physical and digital worlds. Our broad range of solutions address their information management, digital transformation, information security, data center and asset lifecycle management needs. Our longstanding commitment to safety, security, sustainability and innovation in support of our customers underpins everything we do."
Website,https://www.ironmountain.com
Full Time Employees,28850
Currency,USD
Previous Close,99.5
Open,99.75
Bid,100.65
Ask,104.0
Day's Range,98.9001 - 100.88
52 Week Range,72.33 - 130.24
Volume,1706899
Avg. Volume,2091136
Market Cap (intraday),29684377600
Beta (5Y Monthly),1.102
PE Ratio (TTM),245.39024
EPS (TTM),0.41
Earnings Date,1746096300
Forward Dividend & Yield,3.14 (3.12)
Ex-Dividend Date,1750032000
1y Target Est,115.0
