Attribute,Value
Symbol,ES
Name,Eversource Energy (D/B/A)
Industry,Utilities - Regulated Electric
Sector,Utilities
Country,United States
Market Cap,23218731008
Description,"Eversource Energy, a public utility holding company, engages in the energy delivery business. The company operates through Electric Distribution, Electric Transmission, Natural Gas Distribution, and Water Distribution segments. It is involved in the transmission and distribution of electricity; solar power facilities; and distribution of natural gas. The company operates regulated water utilities that provide water services to residential, commercial, industrial, municipal and fire protection, and other customers in Connecticut, Massachusetts, and New Hampshire. The company was formerly known as Northeast Utilities and changed its name to Eversource Energy in April 2015. Eversource Energy was incorporated in 1927 and is headquartered in Springfield, Massachusetts."
Website,https://www.eversource.com
Full Time Employees,10000
Currency,USD
Previous Close,62.38
Open,62.29
Bid,63.12
Ask,63.16
Day's Range,62.01 - 63.27
52 Week Range,52.28 - 69.01
Volume,2129339
Avg. Volume,2880217
Market Cap (intraday),23218731008
Beta (5Y Monthly),0.629
PE Ratio (TTM),27.7193
EPS (TTM),2.28
Earnings Date,1746130500
Forward Dividend & Yield,3.01 (4.76)
Ex-Dividend Date,1747267200
1y Target Est,69.20824
