Attribute,Value
Symbol,ACN
Name,Accenture plc
Industry,Information Technology Services
Sector,Technology
Country,Ireland
Market Cap,198882197504
Description,"Accenture plc provides strategy and consulting, industry X, song, and technology and operation services in North America, Europe, the Middle East, Africa, and internationally. It offers systems integration and application management; security; intelligent platform; infrastructure; software engineering; data and AI; and automation services. The company also operates business processes; and designs, manufactures, and assembles automation equipment, robotics, and other commercial hardware products. It serves communications, media, and technology; banking and capital markets, and insurance; health and public service; consumer goods, retail, travel services; industrial; life science; chemicals, natural resources, energy, and utilities sectors. It has collaboration agreement with Kyoto University to advance learning, research, and innovation in human-centered  AI. The company was founded in 1951 and is based in Dublin, Ireland."
Website,https://www.accenture.com
Full Time Employees,801000
Currency,USD
Previous Close,323.21
Open,317.42
Bid,314.0
Ask,316.99
Day's Range,309.8 - 318.06
52 Week Range,275.01 - 398.35
Volume,3939146
Avg. Volume,3611292
Market Cap (intraday),198882197504
Beta (5Y Monthly),1.344
PE Ratio (TTM),26.168863
EPS (TTM),12.14
Earnings Date,1750422600
Forward Dividend & Yield,5.92 (1.86)
Ex-Dividend Date,1744243200
1y Target Est,356.08084
