Attribute,Value
Symbol,ETN
Name,"Eaton Corporation, PLC"
Industry,Specialty Industrial Machinery
Sector,Industrials
Country,Ireland
Market Cap,128765091840
Description,"Eaton Corporation plc operates as a power management company worldwide. It operates through Electrical Americas, Electrical Global, Aerospace, Vehicle, and eMobility segments. The company offers electrical components, industrial components, power distribution and assemblies, residential products, single and three phase power quality and connectivity products, wiring devices, circuit protection products, utility power distribution products, power reliability equipment; and hazardous duty electrical equipment, emergency lighting, fire detection, explosion-proof instrumentation, and structural support systems. It also provides pumps, motors, hydraulic power units, hoses and fittings, and electro-hydraulic pumps; valves, cylinders, electronic controls, electromechanical actuators, sensors, aircraft flap and slat systems, and nose wheel steering systems; hose, thermoplastic tubing products, fittings, adapters, couplings, and sealing and ducting products; air-to-air refueling systems, fuel pumps, fuel inerting products, sensors, and adapters and regulators; oxygen generation system, payload carriages, and thermal management products; and wiring connectors and cables, as well as hydraulic and bag filters, strainers and cartridges, and golf grips for manufacturers of commercial and military aircraft, and related after-market customers, as well as industrial applications. In addition, the company offers transmissions, clutches, hybrid power systems, superchargers, engine valves and valve actuation systems, locking and limited slip differentials, transmission controls, and fuel vapor components for the vehicle industry. Further, it provides voltage inverters, converters, fuses, circuit protection units, vehicle controls, power distribution systems, fuel tank isolation valves, and commercial vehicle hybrid systems. Eaton Corporation plc formerly known as Abeiron Limited. Eaton Corporation plc was founded in 1911 and is based in Dublin, Ireland."
Website,https://www.eaton.com
Full Time Employees,94443
Currency,USD
Previous Close,326.82
Open,328.42
Bid,326.0
Ask,330.0
Day's Range,325.12 - 329.46
52 Week Range,231.85 - 379.99
Volume,1997132
Avg. Volume,3646212
Market Cap (intraday),128765091840
Beta (5Y Monthly),1.129
PE Ratio (TTM),33.205853
EPS (TTM),9.91
Earnings Date,1746181800
Forward Dividend & Yield,4.16 (1.26)
Ex-Dividend Date,1746403200
1y Target Est,348.54462
