Attribute,Value
Symbol,FIS
Name,Fidelity National Information S
Industry,Information Technology Services
Sector,Technology
Country,United States
Market Cap,41958043648
Description,"Fidelity National Information Services, Inc. engages in the provision of financial services technology solutions for financial institutions, businesses, and developers worldwide. It operates through Banking Solutions, Capital Market Solutions, and Corporate and Other segments. The company provides core processing and ancillary applications; mobile and online banking; fraud, risk management, and compliance; card and retail payment; electronic funds transfer and network; wealth and retirement; and item processing and output solutions. It also offers trading and asset, lending, leveraged and syndicated loan markets, and treasury and risk solutions. Fidelity National Information Services, Inc. was founded in 1968 and is headquartered in Jacksonville, Florida."
Website,https://www.fisglobal.com
Full Time Employees,50000
Currency,USD
Previous Close,78.71
Open,78.74
Bid,79.85
Ask,79.74
Day's Range,78.56 - 79.88
52 Week Range,66.51 - 91.98
Volume,4883984
Avg. Volume,4277639
Market Cap (intraday),41958043648
Beta (5Y Monthly),1.096
PE Ratio (TTM),50.86624
EPS (TTM),1.57
Earnings Date,1744887601
Forward Dividend & Yield,1.6 (2.0)
Ex-Dividend Date,1749513600
1y Target Est,87.92619
