Attribute,Value
Symbol,MKC
Name,"McCormick & Company, Incorporat"
Industry,Packaged Foods
Sector,Consumer Defensive
Country,United States
Market Cap,20208406528
Description,"McCormick & Company, Incorporated manufactures, markets, and distributes spices, seasoning mixes, condiments, and other flavorful products to the food industry. It operates in two segments, Consumer and Flavor Solutions. The Consumer segment offers spices, herbs, and seasonings, as well as condiments and sauces, and desserts. This segment markets its products under the McCormick, French's, Frank's RedHot, Lawry's, Cholula Hot Sauce, Club House, Gourmet Garden, and OLD BAY brands in the Americas; Ducros, Schwartz, Kamis, LA Drogheria, and Vahiné brands in Europe, the Middle East, and Africa; and McCormick and DaQiao brands in the Asia/Pacific, as well as markets desserts under the Aeroplane brand and packaged chilled herbs under the Gourmet Garden brand name; and markets regional and ethnic brands, such as Zatarain's, Stubb's, Thai Kitchen, and Simply Asia. It also supplies its products under the private labels. This segment serves retailers comprising grocery, mass merchandise, warehouse clubs, discount and drug stores, and e-commerce retailers directly and indirectly through distributors and wholesale foodservice suppliers. The Flavor Solutions segment offers seasoning blends, spices and herbs, condiments, coating systems, and compound flavors to multinational food manufacturers and foodservice customers. It serves foodservice customers directly and indirectly through distributors. The company was founded in 1889 and is headquartered in Hunt Valley, Maryland."
Website,https://www.mccormickcorporation.com
Full Time Employees,14100
Currency,USD
Previous Close,74.74
Open,74.7
Bid,72.01
Ask,76.86
Day's Range,74.01 - 75.51
52 Week Range,66.88 - 86.24
Volume,4003476
Avg. Volume,2434671
Market Cap (intraday),20208406528
Beta (5Y Monthly),0.738
PE Ratio (TTM),26.0
EPS (TTM),2.9
Earnings Date,1742898604
Forward Dividend & Yield,1.8 (2.39)
Ex-Dividend Date,1743984000
1y Target Est,82.674
