Attribute,Value
Symbol,NVDA
Name,NVIDIA Corporation
Industry,Semiconductors
Sector,Technology
Country,United States
Market Cap,3302080905216
Description,"NVIDIA Corporation, a computing infrastructure company, provides graphics and compute and networking solutions in the United States, Singapore, Taiwan, China, Hong Kong, and internationally. The Compute & Networking segment comprises Data Center computing platforms and end-to-end networking platforms, including Quantum for InfiniBand and Spectrum for Ethernet; NVIDIA DRIVE automated-driving platform and automotive development agreements; Jetson robotics and other embedded platforms; NVIDIA AI Enterprise and other software; and DGX Cloud software and services. The Graphics segment offers GeForce GPUs for gaming and PCs, the GeForce NOW game streaming service and related infrastructure, and solutions for gaming platforms; Quadro/NVIDIA RTX GPUs for enterprise workstation graphics; virtual GPU or vGPU software for cloud-based visual and virtual computing; automotive platforms for infotainment systems; and Omniverse software for building and operating industrial AI and digital twin applications. It also customized agentic solutions designed in collaboration with NVIDIA to accelerate enterprise AI adoption. The company's products are used in gaming, professional visualization, data center, and automotive markets. It sells its products to original equipment manufacturers, original device manufacturers, system integrators and distributors, independent software vendors, cloud service providers, consumer internet companies, add-in board manufacturers, distributors, automotive manufacturers and tier-1 automotive suppliers, and other ecosystem participants. NVIDIA Corporation was incorporated in 1993 and is headquartered in Santa Clara, California."
Website,https://www.nvidia.com
Full Time Employees,36000
Currency,USD
Previous Close,134.83
Open,136.25
Bid,126.78
Ask,137.0
Day's Range,133.46 - 136.31
52 Week Range,86.62 - 153.13
Volume,218314761
Avg. Volume,285171736
Market Cap (intraday),3302080905216
Beta (5Y Monthly),2.114
PE Ratio (TTM),46.05442
EPS (TTM),2.94
Earnings Date,1748462400
Forward Dividend & Yield,0.04 (0.03)
Ex-Dividend Date,1741737600
1y Target Est,163.21327
