Attribute,Value
Symbol,GEN
Name,Gen Digital Inc.
Industry,Software - Infrastructure
Sector,Technology
Country,United States
Market Cap,17868826624
Description,"Gen Digital Inc. engages in the provision of cyber safety solutions for or individuals, families, and small businesses. It offers security and performance management, identity protection, and online privacy, as well as technology platform. The company offers its products under Norton, Avast, Avira, AVG, and CCleaner brands. The company was formerly known as NortonLifeLock Inc. and changed its name to Gen Digital Inc. in November 2022. Gen Digital Inc. was founded in 1982 and is headquartered in Tempe, Arizona."
Website,https://www.gendigital.com
Full Time Employees,3500
Currency,USD
Previous Close,28.97
Open,28.77
Bid,28.77
Ask,29.98
Day's Range,28.51 - 28.89
52 Week Range,22.74 - 31.72
Volume,3658654
Avg. Volume,4311758
Market Cap (intraday),17868826624
Beta (5Y Monthly),0.994
PE Ratio (TTM),27.970875
EPS (TTM),1.03
Earnings Date,1746561908
Forward Dividend & Yield,0.5 (1.74)
Ex-Dividend Date,1747612800
1y Target Est,30.31875
