Attribute,Value
Symbol,ARE
Name,Alexandria Real Estate Equities
Industry,REIT - Office
Sector,Real Estate
Country,United States
Market Cap,12602248192
Description,"Alexandria Real Estate Equities, Inc. (NYSE: ARE), an S&P 500 company, is a best-in-class, mission-driven life science REIT making a positive and lasting impact on the world. With our founding in 1994, Alexandria pioneered the life science real estate niche. Alexandria is the preeminent and longest-tenured owner, operator, and developer of collaborative Megacampus ecosystems in AAA life science innovation cluster locations, including Greater Boston, the San Francisco Bay Area, San Diego, Seattle, Maryland, Research Triangle, and New York City. As of March 31, 2025, Alexandria has a total market capitalization of $28.8 billion and an asset base in North America that includes 39.6 million RSF of operating properties and 4.0 million RSF of Class A/A+ properties undergoing construction. Alexandria has a longstanding and proven track record of developing Class A/A+ properties clustered in highly dynamic and collaborative Megacampus environments that enhance our tenants' ability to successfully recruit and retain world-class talent and inspire productivity, efficiency, creativity, and success. Alexandria also provides strategic capital to transformative life science companies through our venture capital platform. We believe our unique business model and diligent underwriting ensure a high-quality and diverse tenant base that results in higher occupancy levels, longer lease terms, higher rental income, higher returns, and greater long-term asset value."
Website,https://www.are.com
Full Time Employees,552
Currency,USD
Previous Close,71.56
Open,71.75
Bid,71.41
Ask,72.74
Day's Range,71.28 - 72.88
52 Week Range,70.15 - 130.14
Volume,1598695
Avg. Volume,1634085
Market Cap (intraday),12602248192
Beta (5Y Monthly),1.289
PE Ratio (TTM),95.85526
EPS (TTM),0.76
Earnings Date,1745871005
Forward Dividend & Yield,5.28 (7.25)
Ex-Dividend Date,1743379200
1y Target Est,106.15385
