Attribute,Value
Symbol,MDT
Name,Medtronic plc.
Industry,Medical Devices
Sector,Healthcare
Country,Ireland
Market Cap,110862761984
Description,"Medtronic plc develops, manufactures, and sells device-based medical therapies to healthcare systems, physicians, clinicians, and patients worldwide. The Cardiovascular Portfolio segment offers implantable cardiac pacemakers, cardioverter defibrillators, and cardiac resynchronization therapy devices; cardiac ablation products; insertable cardiac monitor systems; TYRX products; and remote monitoring and patient-centered software. It also provides aortic valves, surgical valve replacement and repair products, endovascular stent grafts and accessories, and transcatheter pulmonary valves; and percutaneous coronary intervention products, percutaneous angioplasty balloons, and other products. The Neuroscience Portfolio segment offers medical devices and implants, biologic solutions, spinal cord stimulation and brain modulation systems, implantable drug infusion systems, and interventional products, as well as nerve ablation system under the Accurian name. The segment offers its products for spinal surgeons, neurosurgeons, neurologists, pain management specialists, anesthesiologists, orthopedic surgeons, urologists, urogynecologists, and interventional radiologists, as well as ear, nose, and throat specialists; and energy surgical instruments. The Medical Surgical Portfolio segment offers surgical stapling devices, vessel sealing instruments, wound closure and electrosurgery products, AI-powered surgical video and analytics platform, robotic-assisted surgery products, hernia mechanical devices, mesh implants, gynecology products, gastrointestinal and hepatologic diagnostics and therapies, and therapies to treat other non-exclusive diseases and conditions; and patient monitoring and airway management products. The Diabetes Operating Unit segment provides insulin pumps and consumables, continuous glucose monitoring systems, and InPen, a smart insulin pen system. The company was founded in 1949 and is headquartered in Galway, Ireland."
Website,https://www.medtronic.com
Full Time Employees,95000
Currency,USD
Previous Close,86.11
Open,86.13
Bid,86.31
Ask,86.43
Day's Range,85.84 - 86.45
52 Week Range,75.96 - 96.25
Volume,6412576
Avg. Volume,7604804
Market Cap (intraday),110862761984
Beta (5Y Monthly),0.83
PE Ratio (TTM),26.353659
EPS (TTM),3.28
Earnings Date,1747820700
Forward Dividend & Yield,2.8 (3.24)
Ex-Dividend Date,1743120000
1y Target Est,97.09741
