Attribute,Value
Symbol,ODFL
Name,"Old Dominion Freight Line, Inc."
Industry,Trucking
Sector,Industrials
Country,United States
Market Cap,36195745792
Description,"Old Dominion Freight Line, Inc. operates as a less-than-truckload motor carrier in the United States and North America. The company offers regional, inter-regional, and national less-than-truckload services, as well as expedited transportation. It also provides various value-added services, including container drayage, truckload brokerage, and supply chain consulting. In addition, the company operates service and fleet maintenance centers. As of December 31, 2024, it owned and operated 11,284 tractors, 31,451 linehaul trailers, and 15,263 pickup and delivery trailers. Old Dominion Freight Line, Inc. was founded in 1934 and is headquartered in Thomasville, North Carolina."
Website,https://www.odfl.com
Full Time Employees,21817
Currency,USD
Previous Close,169.93
Open,171.33
Bid,170.88
Ask,171.6
Day's Range,169.13 - 171.54
52 Week Range,144.9 - 233.26
Volume,1084464
Avg. Volume,2040584
Market Cap (intraday),36195745792
Beta (5Y Monthly),1.315
PE Ratio (TTM),32.135086
EPS (TTM),5.33
Earnings Date,1745406000
Forward Dividend & Yield,1.12 (0.65)
Ex-Dividend Date,1741132800
1y Target Est,167.73773
