Attribute,Value
Symbol,PNR
Name,Pentair plc.
Industry,Specialty Industrial Machinery
Sector,Industrials
Country,United Kingdom
Market Cap,16630389760
Description,"Pentair plc provides various water solutions in the United States, Western Europe, China, Eastern Europe, Latin America, the Middle East, Southeast Asia, Australia, Canada, and Japan. The company operates through three segments: Flow, Water Solutions, and Pool. The Flow segment designs, manufactures, and sells fluid treatment and pump products and systems, including pressure vessels, gas recovery solutions, membrane bioreactors, wastewater reuse systems and advanced membrane filtration, separation systems, water disposal pumps, water supply pumps, fluid transfer pumps, turbine pumps, solid handling pumps, and agricultural spray nozzles. This segment provides products under Pentair Flow, Aurora, Berkeley, Codeline, Fairbanks-Nijhuis, Haffmans, Hydromatic, Hypro, Jung Pumpen, Myers, Sta-Rite, Shurflo, Südmo, and X-Flow brand names. The Water Solutions segment offers commercial and residential water treatment products and systems, such as pressure tanks, control valves, activated carbon products, commercial ice machines, conventional filtration products, and point-of-entry and point-of-use water treatment systems for use in water filtration and water softening solutions, as well as commercial water management and filtration solutions in foodservice operations; and installation and preventative services for water management solutions for commercial operators under the Pentair Water Solutions, Everpure, Fleck, KBI, Manitowoc Ice, Pentek, and RainSoft brand names. The Pool segment provides residential and commercial pool equipment and accessories, including pumps, filters, heaters, lights, automatic controls, automatic cleaners, maintenance equipment, and pool accessories for residential and commercial pool maintenance, pool repair, renovation, service, construction, and aquaculture solutions. This segment offers products under the Pentair Pool, Kreepy Krauly, Pleatco, and Sta-Rite brand. Pentair plc was founded in 1966 and is headquartered in London, the United Kingdom."
Website,https://www.pentair.com
Full Time Employees,9750
Currency,USD
Previous Close,97.81
Open,99.11
Bid,100.83
Ask,100.92
Day's Range,98.78 - 101.17
52 Week Range,72.63 - 110.71
Volume,1557284
Avg. Volume,1710874
Market Cap (intraday),16630389760
Beta (5Y Monthly),1.111
PE Ratio (TTM),26.118864
EPS (TTM),3.87
Earnings Date,1745325000
Forward Dividend & Yield,1.0 (0.99)
Ex-Dividend Date,1752796800
1y Target Est,104.6225
