Attribute,Value
Symbol,ETR
Name,Entergy Corporation
Industry,Utilities - Regulated Electric
Sector,Utilities
Country,United States
Market Cap,37108293632
Description,"Entergy Corporation, together with its subsidiaries, engages in the production and retail distribution of electricity in the United States. It generates, transmits, distributes, and sells electric power in portions of Arkansas, Louisiana, Mississippi, and Texas, including the City of New Orleans; and distributes natural gas. It also engages in the ownership of interests in non-nuclear power plants that sell electric power to wholesale customers, as well as provides decommissioning services to other nuclear power plant owners. It generates electricity through gas, nuclear, coal, hydro, and solar power sources. The company sells energy to retail power providers, utilities, electric power co-operatives, power trading organizations, and other power generation companies. The company's power plants have approximately 25,000 megawatts of electric generating capacity. It delivers electricity to 3 million utility customers in Arkansas, Louisiana, Mississippi, and Texas. Entergy Corporation was founded in 1913 and is headquartered in New Orleans, Louisiana."
Website,https://www.entergy.com
Full Time Employees,12000
Currency,USD
Previous Close,81.82
Open,82.03
Bid,81.57
Ask,82.81
Day's Range,81.8 - 83.15
52 Week Range,52.065 - 88.38
Volume,2444425
Avg. Volume,4393396
Market Cap (intraday),37108293632
Beta (5Y Monthly),0.603
PE Ratio (TTM),26.906149
EPS (TTM),3.09
Earnings Date,1745922605
Forward Dividend & Yield,2.4 (2.89)
Ex-Dividend Date,1746144000
1y Target Est,89.36105
