Attribute,Value
Symbol,IBM
Name,International Business Machines
Industry,Information Technology Services
Sector,Technology
Country,United States
Market Cap,247925948416
Description,"International Business Machines Corporation, together with its subsidiaries, provides integrated solutions and services in the United States, Europe, the Middle East, Africa, Asia Pacific, and internationally. It operates through Software, Consulting, Infrastructure, and Financing segments. The Software segment offers hybrid cloud and AI platforms that allows clients to realize their digital and AI transformations across the applications, data, and environments in which they operate. Its Consulting segment focuses on skills integration for strategy, experience, technology, and operations by domain and industry. The Infrastructure segment provides on-premises and cloud based server, and storage solutions, as well as life-cycle services for hybrid cloud infrastructure deployment. Its Financing segment offers client and commercial financing, facilitates IBM clients' acquisition of hardware, software, and services. It has a strategic partnership to various companies including hyperscalers, service providers, global system integrators, and software and hardware vendors that includes Adobe, Amazon Web services, Microsoft, Oracle, Salesforce, Samsung Electronics and SAP, and others. The company was formerly known as Computing-Tabulating-Recording Co. International Business Machines Corporation was incorporated in 1911 and is headquartered in Armonk, New York."
Website,https://www.ibm.com
Full Time Employees,270300
Currency,USD
Previous Close,266.68
Open,266.35
Bid,266.62
Ask,265.0
Day's Range,264.59 - 267.89
52 Week Range,163.53 - 267.98
Volume,3076417
Avg. Volume,4937774
Market Cap (intraday),247925948416
Beta (5Y Monthly),0.629
PE Ratio (TTM),45.67808
EPS (TTM),5.84
Earnings Date,1753300800
Forward Dividend & Yield,6.72 (2.52)
Ex-Dividend Date,1746748800
1y Target Est,252.272
