Attribute,Value
Symbol,TSCO
Name,Tractor Supply Company
Industry,Specialty Retail
Sector,Consumer Cyclical
Country,United States
Market Cap,28095457280
Description,"Tractor Supply Company operates as a rural lifestyle retailer in the United States. The company offers various merchandise, including livestock and equine feed and equipment, poultry, fencing, and sprayers and chemicals; companion animal products, such as food, treats, and equipment for dogs, cats, and other small animals, as well as dog wellness products; seasonal and recreation products comprising tractors and riders, lawn and garden, bird feeding, power equipment, and other recreational products; truck, tool, and hardware products, such as truck accessories, trailers, generators, lubricants, batteries, and hardware and tools; and clothing, gift, and décor products consist of clothing, footwear, toys, snacks, and decorative merchandise. It provides its products under the 4health, Paws & Claws, American Farmworks, Producer's Pride, Bit & Bridle, Red Shed, Blue Mountain, Redstone, C.E. Schmidt, Retriever, Country Lane, Ridgecut, Countyline, Royal Wing, Country Tuff, Strive, Dumor, Traveller, Farm Table, Treeline, Groundwork, TSC Tractor Supply Co, Huskee, Untamed, JobSmart, and Impeckable brand names. The company operates its retail stores under the Tractor Supply Company, Petsense by Tractor Supply, and Orscheln Farm and Home names; and operates websites under the TractorSupply.com and Petsense.com names. It sells its products to recreational farmers, ranchers, and others. Tractor Supply Company was founded in 1938 and is based in Brentwood, Tennessee."
Website,https://www.tractorsupply.com
Full Time Employees,52000
Currency,USD
Previous Close,52.17
Open,52.25
Bid,49.78
Ask,55.05
Day's Range,51.93 - 53.14
52 Week Range,46.85 - 61.528
Volume,5246933
Avg. Volume,5433473
Market Cap (intraday),28095457280
Beta (5Y Monthly),0.817
PE Ratio (TTM),26.363186
EPS (TTM),2.01
Earnings Date,1745492100
Forward Dividend & Yield,0.92 (1.74)
Ex-Dividend Date,1748390400
1y Target Est,54.37321
