Attribute,Value
Symbol,DLR
Name,"Digital Realty Trust, Inc."
Industry,REIT - Specialty
Sector,Real Estate
Country,United States
Market Cap,58351128576
Description,"Digital Realty Trust, Inc. (Digital Realty or the company) owns, acquires, develops, and operates data centers through its operating partnership subsidiary, Digital Realty Trust, L.P. (the operating partnership). The company is focused on providing data center, colocation, and interconnection solutions for domestic and international customers across a variety of industry verticals ranging from cloud and information technology services, communications and social networking to financial services, manufacturing, energy, healthcare, and consumer products. As of March 31, 2025, the company's 308 data centers, including 78 data centers held as investments in unconsolidated joint ventures, contain applications and operations critical to the day-to-day operations of technology industry and corporate enterprise data center customers. Digital Realty's portfolio is comprised of approximately 41.8 million square feet, excluding approximately 9.5 million square feet of space under active development and 5.1 million square feet of space held for future development, located throughout North America, Europe, South America, Asia, Australia, and Africa."
Website,https://www.digitalrealty.com
Full Time Employees,3936
Currency,USD
Previous Close,167.79
Open,168.39
Bid,163.67
Ask,169.81
Day's Range,167.59 - 170.06
52 Week Range,129.95 - 198.0
Volume,857280
Avg. Volume,2427752
Market Cap (intraday),58351128576
Beta (5Y Monthly),0.949
PE Ratio (TTM),161.9524
EPS (TTM),1.05
Earnings Date,1745525114
Forward Dividend & Yield,4.88 (2.87)
Ex-Dividend Date,1741910400
1y Target Est,184.41667
