Attribute,Value
Symbol,GNRC
Name,Generac Holdlings Inc.
Industry,Specialty Industrial Machinery
Sector,Industrials
Country,United States
Market Cap,7647522304
Description,"Generac Holdings Inc. designs, manufactures, and distributes energy technology products and solution worldwide. The company offers residential automatic standby generators, automatic transfer switch, air-cooled engine residential standby generators, and liquid-cooled engine generators; Mobile Link, a remote monitoring system for home standby generators; residential battery storage systems; smart home solutions, such as smart thermostats and a suite of home monitoring products. It also provides smart home energy management devices and sensors for heating and cooling system; smart doorbell cameras; and portable and inverter generators; multiple portable battery solutions; manual transfer switches; outdoor power equipment, including trimmers, field and brush mowers, log splitters, stump grinders, chipper shredders, lawn and leaf vacuums, and pressure washers and water pumps; and battery-powered turf care products. In addition, the company offers commercial and industrial products comprising cleaner-burning natural gas fueled generators; light-commercial standby generators and related transfer switches; stationary generators; single-engine industrial generators; industrial standby generators; industrial transfer switches; light towers, mobile generators, commercial mobile pumps, heaters, dust-suppression equipment, and mobile energy storage systems; battery energy storage system and related inverter products; and aftermarket service parts and product accessories. Further, it provides Concerto energy-balancing software platform for controlling and dispatching distributed energy resources. The company distributes its products through independent residential dealers, industrial distributors and dealers, national and regional retailers, e-commerce partners, electrical/HVAC/solar wholesalers, solar installers, catalogs, equipment rental companies, and other equipment distributors; and directly to end users. The company was founded in 1959 and is based in Waukesha, Wisconsin."
Website,https://www.generac.com
Full Time Employees,5389
Currency,USD
Previous Close,127.46
Open,127.55
Bid,129.57
Ask,130.0
Day's Range,126.3201 - 129.91
52 Week Range,99.5 - 195.94
Volume,695469
Avg. Volume,890112
Market Cap (intraday),7647522304
Beta (5Y Monthly),1.731
PE Ratio (TTM),22.589878
EPS (TTM),5.73
Earnings Date,1746007200
Forward Dividend & Yield,
Ex-Dividend Date,1370822400
1y Target Est,153.6055
