Attribute,Value
Symbol,PPG
Name,"PPG Industries, Inc."
Industry,Specialty Chemicals
Sector,Basic Materials
Country,United States
Market Cap,25893308416
Description,"PPG Industries, Inc. manufactures and distributes paints, coatings, and specialty materials in the United States, Canada, the Asia Pacific, Latin America, Europe, the Middle East, and Africa. It operates through three segments: Global Architectural Coatings, Performance Coatings, and Industrial Coatings. The Global Architectural Coatings segment offers paints, wood stains, adhesives, sealants, and purchased sundries for painting and maintenance contractors and consumers. The Performance Coatings segment offers coatings, sealants, transparencies, adhesives, engineered materials, packaging, and chemical management services for aerospace industry; coatings, solvents, adhesives, sealants, purchased sundries, digital solutions and paint films for automotive and commercial transport industries; coatings and finishes for protection of metals and structures; and paints, thermoplastics, raised pavement markers, and other pavement marking technologies for government, commercial infrastructure, painting, and maintenance contractors. The Industrial Coatings segment provides coatings, adhesives and sealants, metal pretreatments, and paint films, as well as technical services and coatings applications for automotive original equipment manufacturers, tier supplier, appliances, agricultural and construction equipment, consumer electronics, automotive parts and accessories, building products, kitchenware, and transportation vehicles and other finished products; and on-site coatings services. It also offers coatings for metal cans, closures, plastic and aluminum tubes for food, beverage and personal care, promotional, and specialty packaging; TESLIN substrates for labels, e-passports, drivers' licenses, breathable membranes, and loyalty and identification cards; and organic light emitting diode materials, displays and lighting lens materials, optical lenses, color-change products, and photochromic dyes. The company was incorporated in 1883 and is based in Pittsburgh, Pennsylvania."
Website,https://www.ppg.com
Full Time Employees,46000
Currency,USD
Previous Close,113.06
Open,112.92
Bid,105.84
Ask,113.9
Day's Range,112.09 - 114.15
52 Week Range,90.24 - 137.24
Volume,3275398
Avg. Volume,2295003
Market Cap (intraday),25893308416
Beta (5Y Monthly),1.195
PE Ratio (TTM),20.19115
EPS (TTM),5.65
Earnings Date,1745957100
Forward Dividend & Yield,2.72 (2.38)
Ex-Dividend Date,1747008000
1y Target Est,126.65045
