Attribute,Value
Symbol,EQIX
Name,"Equinix, Inc."
Industry,REIT - Specialty
Sector,Real Estate
Country,United States
Market Cap,85681618944
Description,"Equinix (Nasdaq: EQIX) is the world's digital infrastructure company. Digital leaders harness Equinix's trusted platform to bring together and interconnect foundational infrastructure at software speed. Equinix enables organizations to access all the right places, partners and possibilities to scale with agility, speed the launch of digital services, deliver world-class experiences and multiply their value, while supporting their sustainability goals."
Website,https://www.equinix.com
Full Time Employees,13606
Currency,USD
Previous Close,867.24
Open,869.41
Bid,793.64
Ask,935.63
Day's Range,861.29 - 876.49
52 Week Range,701.41 - 994.03
Volume,589427
Avg. Volume,682157
Market Cap (intraday),85681618944
Beta (5Y Monthly),0.963
PE Ratio (TTM),91.71937
EPS (TTM),9.55
Earnings Date,1746043509
Forward Dividend & Yield,18.76 (2.14)
Ex-Dividend Date,1747785600
1y Target Est,1009.56
