Attribute,Value
Symbol,BSX
Name,Boston Scientific Corporation
Industry,Medical Devices
Sector,Healthcare
Country,United States
Market Cap,156880879616
Description,"Boston Scientific Corporation develops, manufactures, and markets medical devices for use in various interventional medical specialties worldwide. It operates in two segments, MedSurg and Cardiovascular. The company offers devices to diagnose and treat a range of gastrointestinal conditions, such as resolution clips, biliary stent systems, stents and electrocautery enhanced delivery systems, direct visualization systems, digital catheters, and single-use duodenoscopes, as well as endoluminal surgery and infection prevention portfolios; devices to treat urological conditions, including ureteral stents, catheters, baskets, guidewires, urinary and bowel dysfunction, sheaths, balloons, single-use digital flexible ureteroscopes, holmium laser systems, penile implants, artificial urinary sphincter, laser system, and hydrogel systems; and devices to treat neurological movement disorders and manage chronic pain, such as spinal cord stimulator systems, proprietary programming software, radiofrequency ablation, indirect decompression systems, and intraosseous nerve ablation and deep brain stimulation systems. It also provides technologies for diagnosing and treating coronary artery disease and aortic valve conditions; WATCHMAN FLX, a left atrial appendage closure (LAAC) device; and implantable devices that monitor the heart and deliver electricity to treat cardiac abnormalities, such as cardioverter and cardiac resynchronization therapy defibrillators, MRI S-ICD systems, cardiac resynchronization therapy pacemakers, quadripolar LV leads, ICD leads, pacing leads, remote patient management systems, insertable cardiac monitor systems, and remote cardiac monitoring systems. In addition, the company offers diagnosis and treatment of rate and rhythm disorders of the heart; peripheral arterial and venous diseases; and products to diagnose, treat, and ease forms of cancer. The company was incorporated in 1979 and is headquartered in Marlborough, Massachusetts."
Website,https://www.bostonscientific.com
Full Time Employees,53000
Currency,USD
Previous Close,104.86
Open,105.44
Bid,106.0
Ask,106.2
Day's Range,104.72 - 106.24
52 Week Range,71.88 - 107.17
Volume,5575261
Avg. Volume,8454600
Market Cap (intraday),156880879616
Beta (5Y Monthly),0.688
PE Ratio (TTM),77.40146
EPS (TTM),1.37
Earnings Date,1745404212
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,116.7803
