Attribute,Value
Symbol,YUM
Name,"Yum! Brands, Inc."
Industry,Restaurants
Sector,Consumer Cyclical
Country,United States
Market Cap,41158279168
Description,"Yum! Brands, Inc., together with its subsidiaries, develops, operates, and franchises quick service restaurants worldwide. It operates through four segments: KFC Division, Taco Bell Division, Pizza Hut Division, and Habit Burger & Grill Division segments. The company also operates restaurants under the KFC, Pizza Hut, Taco Bell, and Habit Burger & Grill brands, which specialize in chicken, made-to-order chargrilled burgers, sandwiches, Mexican-style food and pizza categories, and other products. The company was formerly known as TRICON Global Restaurants, Inc. and changed its name to Yum! Brands, Inc. in May 2002. Yum! Brands, Inc. was incorporated in 1997 and is based in Louisville, Kentucky."
Website,https://www.yum.com
Full Time Employees,40000
Currency,USD
Previous Close,147.05
Open,147.9
Bid,141.83
Ask,161.17
Day's Range,146.29 - 148.07
52 Week Range,122.13 - 163.3
Volume,1696519
Avg. Volume,2284953
Market Cap (intraday),41158279168
Beta (5Y Monthly),0.769
PE Ratio (TTM),29.496017
EPS (TTM),5.02
Earnings Date,1746010800
Forward Dividend & Yield,2.84 (1.92)
Ex-Dividend Date,1748304000
1y Target Est,158.26334
