Attribute,Value
Symbol,CTAS
Name,Cintas Corporation
Industry,Specialty Business Services
Sector,Industrials
Country,United States
Market Cap,89176367104
Description,"Cintas Corporation engages in the provision of corporate identity uniforms and related business services primarily in the United States, Canada, and Latin America. It operates through Uniform Rental and Facility Services, First Aid and Safety Services, and All Other segments. The company rents and services uniforms and other garments, including flame resistant clothing, mats, mops and shop towels, and other ancillary items; and provides restroom cleaning services and supplies, as well as sells uniforms. In addition, the company offers first aid and safety services, and fire protection products and services. It provides its products and services through its distribution network and local delivery routes, or local representatives to small service and manufacturing companies, as well as major corporations. The company was founded in 1968 and is based in Cincinnati, Ohio. Cintas Corporation was formerly a subsidiary of Cintas Corporation."
Website,https://www.cintas.com
Full Time Employees,46500
Currency,USD
Previous Close,218.49
Open,218.49
Bid,200.19
Ask,235.52
Day's Range,217.26 - 220.91
52 Week Range,164.9275 - 228.12
Volume,1430882
Avg. Volume,1937874
Market Cap (intraday),89176367104
Beta (5Y Monthly),1.085
PE Ratio (TTM),51.241302
EPS (TTM),4.31
Earnings Date,1742992200
Forward Dividend & Yield,1.56 (0.71)
Ex-Dividend Date,1747267200
1y Target Est,209.54312
