Attribute,Value
Symbol,NI
Name,NiSource Inc
Industry,Utilities - Regulated Gas
Sector,Utilities
Country,United States
Market Cap,18395074560
Description,"NiSource Inc., an energy holding company, operates as a regulated natural gas and electric utility company in the United States. It operates in two segments, Columbia Operations and NIPSCO Operations. The company provides natural gas to approximately 2.4 million residential, commercial, and industrial customers through approximately 37,200 miles of distribution main pipeline and the associated individual customer service lines; and 330 miles of transmission main pipeline in Ohio, Pennsylvania, Virginia, Kentucky, and Maryland. It also generates, transmits, and distributes electricity to approximately 0.5 million customers in various counties in the northern part of Indiana, as well as engages in wholesale electric and transmission transactions. It owns and operates steam coal generating stations in Wheatfield and Michigan City; combined cycle gas turbine in West Terre Haute; natural gas generating units in Wheatfield; hydro generating plants in Carroll County and White County; wind generating units in White County, Indiana; and solar generating units in Jasper County and White County. The company was formerly known as NIPSCO Industries, Inc. and changed its name to NiSource Inc. in April 1999. NiSource Inc. was founded in 1847 and is headquartered in Merrillville, Indiana."
Website,https://www.nisource.com
Full Time Employees,7687
Currency,USD
Previous Close,38.69
Open,38.7
Bid,38.98
Ask,39.06
Day's Range,38.49 - 39.1
52 Week Range,27.6 - 41.45
Volume,2905365
Avg. Volume,5132657
Market Cap (intraday),18395074560
Beta (5Y Monthly),0.535
PE Ratio (TTM),21.124325
EPS (TTM),1.85
Earnings Date,1746613800
Forward Dividend & Yield,1.12 (2.87)
Ex-Dividend Date,1753920000
1y Target Est,42.63267
