Attribute,Value
Symbol,VICI
Name,VICI Properties Inc.
Industry,REIT - Diversified
Sector,Real Estate
Country,United States
Market Cap,33920389120
Description,"VICI Properties Inc. is an S&P 500 experiential real estate investment trust that owns one of the largest portfolios of market-leading gaming, hospitality and entertainment destinations, including Caesars Palace Las Vegas, MGM Grand and the Venetian Resort Las Vegas, three of the most iconic entertainment facilities on the Las Vegas Strip. VICI Properties owns 93 experiential assets across a geographically diverse portfolio consisting of 54 gaming properties and 39 other experiential properties across the United States and Canada. The portfolio is comprised of approximately 127 million square feet and features approximately 60,300 hotel rooms and over 500 restaurants, bars, nightclubs and sportsbooks. Its properties are occupied by industry-leading gaming, leisure and hospitality operators under long-term, triple-net lease agreements. VICI Properties has a growing array of real estate and financing partnerships with leading operators in other experiential sectors, including Bowlero, Cabot, Canyon Ranch, Chelsea Piers, Great Wolf Resorts, Homefield and Kalahari Resorts. VICI Properties also owns four championship golf courses and 33 acres of undeveloped and underdeveloped land adjacent to the Las Vegas Strip. VICI Properties' goal is to own the highest quality and most productive experiential real estate portfolio through a strategy of partnering with the highest quality experiential place makers and operators."
Website,https://www.viciproperties.com
Full Time Employees,27
Currency,USD
Previous Close,31.63
Open,31.66
Bid,31.45
Ask,32.08
Day's Range,31.56 - 32.135
52 Week Range,27.53 - 34.29
Volume,5672692
Avg. Volume,7723019
Market Cap (intraday),33920389120
Beta (5Y Monthly),0.77
PE Ratio (TTM),12.839999
EPS (TTM),2.5
Earnings Date,1746044100
Forward Dividend & Yield,1.73 (5.39)
Ex-Dividend Date,1742428800
1y Target Est,36.11957
