Attribute,Value
Symbol,CTRA
Name,Coterra Energy Inc.
Industry,Oil & Gas E&P
Sector,Energy
Country,United States
Market Cap,18928871424
Description,"Coterra Energy Inc., an independent oil and gas company, engages in the exploration, development, and production of oil, natural gas, and natural gas liquids in the United States. The company's properties include the Permian Basin with approximately 2,97,000 net acres in west Texas and southeast, New Mexico; Marcellus Shale properties approximately 1,86,000 net acres located in Susquehanna County, Pennsylvania; and Anadarko Basin with approximately 1,81,000 net acres located in mid-continent region in Oklahoma. It also operates natural gas and saltwater gathering, and disposal systems in Texas. The company sells its natural gas to industrial customers, local distribution companies, oil and gas marketers, energy companies, pipeline companies, and power generation facilities. The company was incorporated in 1989 and is headquartered in Houston, Texas."
Website,https://www.coterra.com
Full Time Employees,915
Currency,USD
Previous Close,24.69
Open,24.84
Bid,24.6
Ask,24.73
Day's Range,24.53 - 24.945
52 Week Range,22.3 - 29.95
Volume,6938009
Avg. Volume,7608561
Market Cap (intraday),18928871424
Beta (5Y Monthly),0.305
PE Ratio (TTM),14.502923
EPS (TTM),1.71
Earnings Date,1746478020
Forward Dividend & Yield,0.88 (3.55)
Ex-Dividend Date,1747267200
1y Target Est,33.05808
