Attribute,Value
Symbol,NEM
Name,Newmont Corporation
Industry,Gold
Sector,Basic Materials
Country,United States
Market Cap,55761293312
Description,"Newmont Corporation engages in the production and exploration of gold properties. It also explores for copper, silver, zinc, lead, and other metals. The company has operations and/or assets in the United States, Canada, Mexico, Dominican Republic, Peru, Suriname, Argentina, Chile, Australia, Papua New Guinea, Ecuador, Fiji, and Ghana, and internationally. Newmont Corporation was founded in 1916 and is headquartered in Denver, Colorado."
Website,https://www.newmont.com
Full Time Employees,22200
Currency,USD
Previous Close,49.84
Open,48.75
Bid,50.25
Ask,50.79
Day's Range,48.61 - 50.11
52 Week Range,36.86 - 58.72
Volume,11560429
Avg. Volume,13497287
Market Cap (intraday),55761293312
Beta (5Y Monthly),0.324
PE Ratio (TTM),11.412301
EPS (TTM),4.39
Earnings Date,1745438701
Forward Dividend & Yield,1.0 (2.0)
Ex-Dividend Date,1748304000
1y Target Est,62.89421
