Attribute,Value
Symbol,EFX
Name,"Equifax, Inc."
Industry,Consulting Services
Sector,Industrials
Country,United States
Market Cap,34611777536
Description,"Equifax Inc. operates as a data, analytics, and technology company. The company operates through three segments: Workforce Solutions, U.S. Information Solutions (USIS), and International. The Workforce Solutions segment offers services that enables customers to verify income, employment, educational history, criminal justice data, healthcare professional licensure, and sanctions of people in the United States; and employer customers with services that that assist them in complying with and automating certain payroll-related and human resource management processes throughout the entire cycle of the employment relationship. The U.S. Information Solutions segment provides consumer and commercial information services, such as credit information and credit scoring, credit modeling and portfolio analytics, locate, fraud detection and prevention, identity verification, and other consulting services; mortgage services; financial marketing services; identity management services; and credit monitoring products. The International segment offers information service products, which include consumer and commercial services, such as credit and financial information, and credit scoring and modeling; and credit and other marketing products and services, as well as offers information, technology, and services to support debt collections and recovery management. It also provides information solutions for businesses, governments and consumers; and human resources business process automation and outsourcing services for employers.It operates in Argentina, Australia, Brazil, Canada, Chile, Costa Rica, Dominican Republic, Ecuador, El Salvador, Honduras, India, Ireland, Mexico, New Zealand, Paraguay, Peru, Portugal, Spain, the United Kingdom, Uruguay, and the United States. The company was founded in 1899 and is headquartered in Atlanta, Georgia."
Website,https://www.equifax.com
Full Time Employees,15000
Currency,USD
Previous Close,275.16
Open,275.85
Bid,260.31
Ask,280.0
Day's Range,272.35 - 278.94
52 Week Range,199.98 - 309.63
Volume,611122
Avg. Volume,1089377
Market Cap (intraday),34611777536
Beta (5Y Monthly),1.675
PE Ratio (TTM),56.873466
EPS (TTM),4.9
Earnings Date,1745317800
Forward Dividend & Yield,2.0 (0.72)
Ex-Dividend Date,1747958400
1y Target Est,284.867
