Attribute,Value
Symbol,MMM
Name,3M Company
Industry,Conglomerates
Sector,Industrials
Country,United States
Market Cap,82400894976
Description,"3M Company provides diversified technology services in the Americas, the Asia Pacific, Europe, the Middle East, Africa, and internationally. It operates through three segments: Safety and Industrial, Transportation and Electronics, and Consumer. The Safety and Industrial segment offers industrial abrasives and finishing for metalworking applications; autobody repair solutions; industrial specialty products, such as personal hygiene products, masking, and packaging materials; electrical products and materials for construction and maintenance, power distribution, and electrical original equipment manufacturers; structural adhesives and tapes; respiratory, hearing, eye, and fall protection solutions; and natural and color-coated mineral granules for shingles. The Transportation and Electronics segment provides ceramic solutions; attachment/bonding, films, sound, and temperature management for transportation vehicles; format graphic films for advertising and fleet signage; reflective signage for highway and vehicle safety; light management films and electronics assembly solutions; chip packaging and interconnection solutions; semiconductor production materials; and data center solutions. The Consumer segment offers cleaning products for the home; consumer air quality products; picture hanging accessories; retail abrasives, paint accessories, and safety products; stationery and office products; automotive appearance products; and consumer bandages, tapes, braces, and supports. The company offers its products through e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers, as well as directly to users. 3M Company was founded in 1902 and is headquartered in Saint Paul, Minnesota."
Website,https://www.3m.com
Full Time Employees,61500
Currency,USD
Previous Close,148.74
Open,149.43
Bid,145.0
Ask,153.16
Day's Range,148.95 - 153.28
52 Week Range,96.76 - 156.35
Volume,2983960
Avg. Volume,4245707
Market Cap (intraday),82400894976
Beta (5Y Monthly),1.076
PE Ratio (TTM),19.09102
EPS (TTM),8.02
Earnings Date,1745317806
Forward Dividend & Yield,2.92 (1.91)
Ex-Dividend Date,1747958400
1y Target Est,150.92
