Attribute,Value
Symbol,PTC
Name,PTC Inc.
Industry,Software - Application
Sector,Technology
Country,United States
Market Cap,20740208640
Description,"PTC Inc. operates as software company in the Americas, Europe, and the Asia Pacific. The company provides Windchill, a suite that manages all aspects of the product development lifecycle(PLM) that provides real-time information sharing, dynamic data visualization, collaborate across geographically distributed teams, and enabling manufacturers to elevate product development, manufacturing, field service, and end-of-life processes; ThingWorx, an Industrial Internet of Things software; ServiceMax, a service lifecycle management solutions enable companies to asset uptime with optimized in-person and remote service and technician productivity with mobile tools, and deliver metrics; and Arena, a SaaS PLM solution enables product teams to collaborate virtually to share product and quality information with internal teams and supply chain partners and deliver products to customers. It offers Codebeamer, an application lifecycle management for products and software development; Servigistics, a service parts management solution; and FlexPLM, a platform for merchandising and line planning, materials management, sampling, and others. In addition, it offers Kepware, an enterprise industrial connectivity solution; Creo, a 3D CAD technology enables the digital design, testing, and modification of product models; and Onshape, a SaaS product development platform that delivers computer-aided design with data management, collaboration tools, and real-time analytics. Further, it offers Vuforia, an augmented reality (AR) software; and Arbortext, a dynamic publishing solution streamlines how organizations create, manage, and publish technical documentation. PTC Inc. was incorporated in 1985 and is headquartered in Boston, Massachusetts."
Website,https://www.ptc.com
Full Time Employees,7512
Currency,USD
Previous Close,171.8
Open,171.28
Bid,156.98
Ask,184.89
Day's Range,169.94 - 173.03
52 Week Range,133.38 - 203.09
Volume,602836
Avg. Volume,1019103
Market Cap (intraday),20740208640
Beta (5Y Monthly),1.191
PE Ratio (TTM),47.372604
EPS (TTM),3.65
Earnings Date,1746043271
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,185.6225
