Attribute,Value
Symbol,AEE
Name,Ameren Corporation
Industry,Utilities - Regulated Electric
Sector,Utilities
Country,United States
Market Cap,26574397440
Description,"Ameren Corporation, together with its subsidiaries, operates as a public utility holding company in the United States. The company operates through four segments: Ameren Missouri, Ameren Illinois Electric Distribution, Ameren Illinois Natural Gas, and Ameren Transmission. It engages in the rate-regulated electric generation, transmission, and distribution business; and rate-regulated natural gas distribution business. The company also generates electricity through coal, nuclear, and natural gas, as well as renewable energy, including hydroelectric, wind, methane gas, and solar. It serves residential, commercial, and industrial customers. Ameren Corporation was founded in 1881 and is headquartered in Saint Louis, Missouri."
Website,https://www.amereninvestors.com
Full Time Employees,8981
Currency,USD
Previous Close,96.82
Open,96.65
Bid,85.98
Ask,101.38
Day's Range,96.43 - 98.03
52 Week Range,69.39 - 104.1
Volume,1254604
Avg. Volume,1954825
Market Cap (intraday),26574397440
Beta (5Y Monthly),0.524
PE Ratio (TTM),21.733923
EPS (TTM),4.51
Earnings Date,1746131411
Forward Dividend & Yield,2.84 (2.9)
Ex-Dividend Date,1749513600
1y Target Est,102.695
