Attribute,Value
Symbol,JNJ
Name,Johnson & Johnson
Industry,Drug Manufacturers - General
Sector,Healthcare
Country,United States
Market Cap,364110577664
Description,"Johnson & Johnson, together with its subsidiaries, engages in the research and development, manufacture, and sale of various products in the healthcare field worldwide. It operates in two segments, Innovative Medicine and MedTech. The Innovative Medicine segment offers products for various therapeutic areas, such as immunology, including rheumatoid arthritis, psoriatic arthritis, inflammatory bowel disease, and psoriasis; infectious diseases comprising HIV/AIDS; neuroscience, consisting of mood disorders, neurodegenerative disorders, and schizophrenia; oncology, such as prostate cancer, hematologic malignancies, lung cancer, and bladder cancer; cardiovascular and metabolism, including thrombosis, diabetes, and macular degeneration; and pulmonary hypertension comprising pulmonary arterial hypertension through retailers, wholesalers, distributors, hospitals, and healthcare professionals for prescription use. The MedTech segment provides electrophysiology products to treat heart rhythm disorders; the heart recovery portfolio, which includes technologies to treat severe coronary artery disease requiring high-risk PCI or AMI cardiogenic shock; circulatory restoration products for the treatment of calcified coronary artery and peripheral artery diseases; and neurovascular care that treats hemorrhagic and ischemic stroke. This segment offers an orthopaedics portfolio that includes products and enabling technologies that support hips, knees, trauma, spine, sports, and other; surgery portfolios comprising advanced and general surgery technologies, as well as solutions for breast aesthetics and reconstruction; contact lenses under the ACUVUE brand; and TECNIS intraocular lenses for cataract surgery. It distributes its products to wholesalers, hospitals, and retailers, as well as physicians, nurses, hospitals, eye care professionals, and clinics. The company was founded in 1886 and is based in New Brunswick, New Jersey."
Website,https://www.jnj.com
Full Time Employees,138100
Currency,USD
Previous Close,149.61
Open,149.67
Bid,151.1
Ask,151.1
Day's Range,149.22 - 151.49
52 Week Range,140.68 - 169.99
Volume,6268118
Avg. Volume,9690155
Market Cap (intraday),364110577664
Beta (5Y Monthly),0.411
PE Ratio (TTM),16.833149
EPS (TTM),8.99
Earnings Date,1752669000
Forward Dividend & Yield,5.2 (3.44)
Ex-Dividend Date,1748304000
1y Target Est,169.18262
