Attribute,Value
Symbol,KMX
Name,CarMax Inc
Industry,Auto & Truck Dealerships
Sector,Consumer Cyclical
Country,United States
Market Cap,10244529152
Description,"CarMax, Inc., through its subsidiaries, operates as a retailer of used vehicles and related products in the United States. The company operates in two segments: CarMax Sales Operations and CarMax Auto Finance. The CarMax Sales Operations segment offers customers a range of makes and models of used vehicles, including domestic, imported, and luxury vehicles, as well as hybrid and electric vehicles; used vehicle auctions; extended protection plans to customers at the time of sale; and reconditioning and vehicle repair services. The CarMax Auto Finance segment provides financing alternatives for retail customers across a range of credit spectrum and arrangements with various financial institutions. The company was founded in 1993 and is based in Richmond, Virginia."
Website,https://www.carmax.com
Full Time Employees,30048
Currency,USD
Previous Close,67.9
Open,67.5
Bid,66.62
Ask,67.0
Day's Range,67.0 - 67.865
52 Week Range,61.67 - 91.25
Volume,2630695
Avg. Volume,3121296
Market Cap (intraday),10244529152
Beta (5Y Monthly),1.449
PE Ratio (TTM),20.950155
EPS (TTM),3.21
Earnings Date,1744282200
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,84.19438
