Attribute,Value
Symbol,T
Name,AT&T Inc.
Industry,Telecom Services
Sector,Communication Services
Country,United States
Market Cap,199462027264
Description,"AT&T Inc. provides telecommunications and technology services worldwide. The company operates through two segments, Communications and Latin America. The Communications segment offers wireless voice and data communications services; and sells handsets, wireless data cards, wireless computing devices, carrying cases/protective covers, and wireless chargers through its own company-owned stores, agents, and third-party retail stores. It also provides AT&T Dedicated Internet, fiber ethernet and broadband, fixed wireless, and hosted and managed professional services; and copper-based voice and data, Virtual Private Networks (VPN), wholesale, outsourcing, and IP, as well as customer premises equipment for multinational corporations, small and mid-sized businesses, governmental, and wholesale customers. In addition, this segment offers broadband services, including fiber connections, legacy telephony voice communication services, and other VoIP services and equipment to residential customers. This segment markets its communications services and products under the AT&T, AT&T Business, Cricket, AT&T PREPAID, AT&T Fiber, and AT&T Internet Air brand names. The Latin America segment provides postpaid and prepaid wireless services in Mexico under the AT&T and Unefon brand names, as well as sells smartphones through its stores, agents and third-party retail stores. The company was formerly known as SBC Communications Inc. and changed its name to AT&T Inc. in 2005. AT&T Inc. was incorporated in 1983 and is based in Dallas, Texas."
Website,https://www.att.com
Full Time Employees,139970
Currency,USD
Previous Close,27.33
Open,27.37
Bid,27.67
Ask,27.67
Day's Range,27.12 - 27.7686
52 Week Range,17.11 - 29.03
Volume,31079292
Avg. Volume,43058439
Market Cap (intraday),199462027264
Beta (5Y Monthly),0.612
PE Ratio (TTM),17.006134
EPS (TTM),1.63
Earnings Date,1745404269
Forward Dividend & Yield,1.11 (4.0)
Ex-Dividend Date,1744243200
1y Target Est,29.335
