Attribute,Value
Symbol,SW
Name,Smurfit WestRock plc
Industry,Packaging & Containers
Sector,Consumer Cyclical
Country,Ireland
Market Cap,24346685440
Description,"Smurfit Westrock Plc, together with its subsidiaries, manufactures, distributes, and sells containerboard, corrugated containers, and other paper-based packaging products. The company produces containerboard; packaging of corrugated containers; consumer packaging; and offers solid board, kraft paper, and graphic board, as well as other packaging products, such as solidboard packaging, paper sacks and bag-in-box. It produces linerboard and corrugated medium, paperboard, and non-packaging grades of paper, as well as converted products, such as folding cartons and corrugated boxes, and other products; recycled paper-based packaging products; and packaging machinery. The company primarily serves food and beverage, e-commerce, retail, consumer goods, industrial, and foodservice markets in 40 countries. Smurfit Westrock Plc was founded in 1934 and is headquartered in Dublin, Ireland."
Website,https://www.smurfitwestrock.com
Full Time Employees,100000
Currency,USD
Previous Close,46.1992
Open,46.01
Bid,38.91
Ask,46.45
Day's Range,45.9 - 46.77
52 Week Range,37.01 - 56.986
Volume,3141130
Avg. Volume,3990453
Market Cap (intraday),24346685440
Beta (5Y Monthly),1.05
PE Ratio (TTM),56.878048
EPS (TTM),0.82
Earnings Date,1746095400
Forward Dividend & Yield,1.72 (3.69)
Ex-Dividend Date,1747353600
1y Target Est,54.41275
