Attribute,Value
Symbol,MU
Name,"Micron Technology, Inc."
Industry,Semiconductors
Sector,Technology
Country,United States
Market Cap,109521862656
Description,"Micron Technology, Inc. designs, develops, manufactures, and sells memory and storage products in the United States, Taiwan, Mainland China, rest of the Asia Pacific, Hong Kong, Japan, Europe, and internationally. The company operates through four segments: Compute and Networking Business Unit, Mobile Business Unit, Embedded Business Unit, and Storage Business Unit. It provides memory and storage technologies comprising dynamic random access memory semiconductor devices with low latency that provide high-speed data retrieval; non-volatile and re-writeable semiconductor storage devices; and non-volatile re-writable semiconductor memory devices that provide fast read speeds under the Micron and Crucial brands, as well as through private labels. The company offers serves the data center, PC, graphics, networking, automotive, industrial, and consumer embedded markets, as well as for smartphone and other mobile-device markets. It markets its products through its direct sales force, independent sales representatives, distributors, and retailers; and web-based customer direct sales channel, as well as through channel and distribution partners. Micron Technology, Inc. was founded in 1978 and is headquartered in Boise, Idaho."
Website,https://www.micron.com
Full Time Employees,48000
Currency,USD
Previous Close,95.45
Open,95.84
Bid,95.0
Ask,98.25
Day's Range,95.76 - 98.19
52 Week Range,61.54 - 157.54
Volume,22473746
Avg. Volume,24240079
Market Cap (intraday),109521862656
Beta (5Y Monthly),1.211
PE Ratio (TTM),23.444977
EPS (TTM),4.18
Earnings Date,1742500801
Forward Dividend & Yield,0.46 (0.47)
Ex-Dividend Date,1743379200
1y Target Est,123.34697
