Attribute,Value
Symbol,LMT
Name,Lockheed Martin Corporation
Industry,Aerospace & Defense
Sector,Industrials
Country,United States
Market Cap,109725507584
Description,"Lockheed Martin Corporation, an aerospace and defense company, engages in the research, design, development, manufacture, integration, and sustainment of technology systems, products, and services worldwide. The company operates through four segments: Aeronautics; Missiles and Fire Control (MFC); Rotary and Mission Systems (RMS); and Space. The Aeronautics segment offers combat and air mobility aircraft, unmanned air vehicles, and related technologies. The MFC segment provides air and missile defense systems; tactical missiles and precision strike weapon systems; logistics; fire control systems; mission operations support, readiness, engineering support, and integration services; ground vehicles; and energy management solutions. The RMS segment offers military and commercial helicopters, surface ships, sea and land-based missile defense systems, radar and laser systems, sea and air-based mission and combat systems, command and control mission solutions, cyber solutions, simulation and training solutions, and services and supports surface ships. The Space segment provides satellites; space transportation systems; strategic, advanced strike, and defensive systems; and classified systems and services in support of national security systems. This segment also provides network-enabled situational awareness and integrates space and ground global systems to help its customers gather, analyze, and securely distribute critical intelligence data. It serves primarily serves the U.S. government and international customers, as well as foreign military sales contracted through the U.S. government. The company was formerly known as The Lockheed Corporation and changed its name to Lockheed Martin Corporation in March 1995. Lockheed Martin Corporation was founded in 1912 and is based in Bethesda, Maryland."
Website,https://www.lockheedmartin.com
Full Time Employees,121000
Currency,USD
Previous Close,465.14
Open,466.21
Bid,465.0
Ask,468.0
Day's Range,462.66 - 468.43
52 Week Range,418.88 - 618.95
Volume,1314304
Avg. Volume,1696874
Market Cap (intraday),109725507584
Beta (5Y Monthly),0.289
PE Ratio (TTM),20.203625
EPS (TTM),23.18
Earnings Date,1745321343
Forward Dividend & Yield,13.2 (2.82)
Ex-Dividend Date,1748822400
1y Target Est,524.22955
