Attribute,Value
Symbol,HWM
Name,Howmet Aerospace Inc.
Industry,Aerospace & Defense
Sector,Industrials
Country,United States
Market Cap,65718124544
Description,"Howmet Aerospace Inc. provides advanced engineered solutions for the aerospace and transportation industries in the United States, Japan, France, Germany, the United Kingdom, Mexico, Italy, Canada, Poland, China, and internationally. It operates through four segments: Engine Products, Fastening Systems, Engineered Structures, and Forged Wheels. The Engine Products segment offers airfoils and seamless rolled rings primarily for aircraft engines and industrial gas turbines; and rotating and structural parts. The Fastening Systems segment produces aerospace fastening systems, as well as commercial transportation, industrial, and other fasteners; and latches, bearings, fluid fittings, and installation tools. The Engineered Structures segment provides titanium ingots and mill products, aluminum and nickel forgings, and machined components and assemblies for aerospace and defense applications; and titanium forgings, extrusions, and forming and machining services for airframe, wing, aero-engine, and landing gear components. The Forged Wheels segment offers forged aluminum wheels and related products for heavy-duty trucks and commercial transportation markets. The company was formerly known as Arconic Inc. Howmet Aerospace Inc. was founded in 1888 and is based in Pittsburgh, Pennsylvania."
Website,https://www.howmet.com
Full Time Employees,23930
Currency,USD
Previous Close,161.29
Open,161.13
Bid,162.4
Ask,162.04
Day's Range,160.59 - 162.91
52 Week Range,76.83 - 162.91
Volume,1785032
Avg. Volume,3131514
Market Cap (intraday),65718124544
Beta (5Y Monthly),1.372
PE Ratio (TTM),53.202618
EPS (TTM),3.06
Earnings Date,1746097200
Forward Dividend & Yield,0.4 (0.25)
Ex-Dividend Date,1746748800
1y Target Est,163.97545
