Attribute,Value
Symbol,DD
Name,"DuPont de Nemours, Inc."
Industry,Specialty Chemicals
Sector,Basic Materials
Country,United States
Market Cap,29010352128
Description,"DuPont de Nemours, Inc. provides technology-based materials and solutions in the United States, Canada, the Asia Pacific, Latin America, Europe, the Middle East, and Africa. It operates through Electronics & Industrial, Water & Protection, and Corporate & Other segments. The Electronics & Industrial segment supplies materials and solutions for the fabrication of semiconductors and integrated circuits. This segment also provides semiconductor and advanced packaging materials; dielectric and metallization solutions for chip packaging; silicones for light emitting diode packaging and semiconductor applications; and permanent and process chemistries for the fabrication of printed circuit boards to include laminates and substrates, and electroless and electrolytic metallization solutions, and electromagnetic shielding and thermal management solutions, as well as patterning solutions, and materials and metallization processes for metal finishing, decorative, and industrial applications. In addition, it offers various materials to manufacture rigid and flexible displays for organic light emitting diode, and other display applications; provides high performance parts, and specialty silicone elastomers, and lubricants to automotive, aerospace, electronics, industrial, and healthcare markets; and photopolymer plates and platemaking systems used in flexographic printing, and digital inks for textile, commercial, and home-office printing applications. The Water & Protection segment provides engineered products and integrated systems for worker safety, water purification and separation, transportation, energy, medical packaging and building materials. The Corporate & Other segment offers auto adhesives and fluids; Multibase; and Tedlar products. The company was formerly known as DowDuPont Inc. and changed its name to DuPont de Nemours, Inc. in June 2019. DuPont de Nemours, Inc. was incorporated in 2015 and is headquartered in Wilmington, Delaware."
Website,https://www.dupont.com
Full Time Employees,24000
Currency,USD
Previous Close,68.18
Open,68.07
Bid,69.26
Ask,69.3
Day's Range,67.665 - 69.35
52 Week Range,53.77 - 90.06
Volume,2915953
Avg. Volume,3273234
Market Cap (intraday),29010352128
Beta (5Y Monthly),1.06
PE Ratio (TTM),2310.6667
EPS (TTM),0.03
Earnings Date,1746180000
Forward Dividend & Yield,1.64 (2.37)
Ex-Dividend Date,1748563200
1y Target Est,85.28105
