Attribute,Value
Symbol,JKHY
Name,"Jack Henry & Associates, Inc."
Industry,Information Technology Services
Sector,Technology
Country,United States
Market Cap,13301298176
Description,"Jack Henry & Associates, Inc., a financial technology company that connects people and financial institutions through technology solutions and payment processing services that reduce the barriers to financial health. It operates through four segments: Core, Payments, Complementary, and Corporate and Other. The Core segment provides core information processing platforms to banks and credit unions, which consist of integrated applications required to process deposit, loan, and general ledger transactions, and maintain centralized customer/member information. The Payments segment provides secure payment processing tools and services, including ATM, debit, and credit card processing services, online and mobile bill pay solutions, ACH origination and remote deposit capture processing, and risk management products and svervices. The Complementary segment provides additional software, hosted processing platforms, and services, including digital/mobile banking, treasury services, online account opening, fraud/anti-money laundering, and lending/deposit solutions. The Corporate and Other segment offers hardware and other products. The company offers specialized financial performance, imaging and payments processing, information security and risk management, retail delivery, and online and mobile solutions to financial services organizations and corporate entities. Its core banking platform offerings include SilverLake system, CIF 20/20, and Core Director, as well as core credit union platform under the Symitar name. In addition, the company provides digital products and services and electronic payment solutions; hardware systems; implementation, training, and support services; and software licensing and related services, as well as professional services, and data centers. Jack Henry & Associates, Inc. was founded in 1976 and is headquartered in Monett, Missouri."
Website,https://www.jackhenry.com
Full Time Employees,7200
Currency,USD
Previous Close,180.63
Open,181.1
Bid,165.71
Ask,196.32
Day's Range,180.58 - 182.77
52 Week Range,157.0 - 196.0
Volume,637243
Avg. Volume,708430
Market Cap (intraday),13301298176
Beta (5Y Monthly),0.751
PE Ratio (TTM),31.172354
EPS (TTM),5.86
Earnings Date,1746562207
Forward Dividend & Yield,2.32 (1.27)
Ex-Dividend Date,1748476800
1y Target Est,188.91467
