Attribute,Value
Symbol,J
Name,Jacobs Solutions Inc.
Industry,Engineering & Construction
Sector,Industrials
Country,United States
Market Cap,15520549888
Description,"Jacobs Solutions Inc. engages in the infrastructure and advanced facilities, and consulting businesses in the United States, Europe, Canada, India, Asia, Australia, New Zealand, the Middle East, and Africa. The company offers consulting, planning, architecture, design, engineering, and infrastructure delivery services including project, program, and construction management and long-term operation of facilities. It also provides consulting services for consumer and manufacturing, defense and security, energy and utilities, financial services, government, health and life sciences, and transport sectors. The company was founded in 1947 and is headquartered in Dallas, Texas."
Website,https://www.jacobs.com
Full Time Employees,45000
Currency,USD
Previous Close,127.486
Open,128.37
Bid,122.87
Ask,129.17
Day's Range,127.8148 - 129.7
52 Week Range,106.23 - 150.54
Volume,734364
Avg. Volume,982133
Market Cap (intraday),15520549888
Beta (5Y Monthly),0.765
PE Ratio (TTM),42.49013
EPS (TTM),3.04
Earnings Date,1746534600
Forward Dividend & Yield,1.28 (0.99)
Ex-Dividend Date,1747958400
1y Target Est,144.00175
