Attribute,Value
Symbol,LIN
Name,Linde plc
Industry,Specialty Chemicals
Sector,Basic Materials
Country,United Kingdom
Market Cap,215483318272
Description,"Linde plc operates as an industrial gas company in the United States, China, Germany, the United Kingdom, Australia, Mexico, Brazil, and internationally. It offers atmospheric gases, including oxygen, nitrogen, argon, and rare gases; and process gases, such as hydrogen, helium, carbon dioxide, carbon monoxide, electronic gases, specialty gases, acetylene, etc. The company also designs and constructs turnkey process plants for third-party customers, as well as for the gas businesses in various locations consist of air separation, hydrogen, synthesis, olefin, and natural gas plants. It serves a range of industries comprising healthcare, chemicals and energy, manufacturing, metals and mining, food and beverage, and electronics. Linde plc was founded in 1879 and is based in Woking, the United Kingdom."
Website,https://www.linde.com
Full Time Employees,65069
Currency,USD
Previous Close,454.22
Open,455.76
Bid,457.22
Ask,458.25
Day's Range,451.955 - 458.36
52 Week Range,408.65 - 487.49
Volume,1844551
Avg. Volume,2313944
Market Cap (intraday),215483318272
Beta (5Y Monthly),1.007
PE Ratio (TTM),33.219883
EPS (TTM),13.78
Earnings Date,1746093600
Forward Dividend & Yield,6.0 (1.31)
Ex-Dividend Date,1748995200
1y Target Est,491.332
