Attribute,Value
Symbol,RSG
Name,"Republic Services, Inc."
Industry,Waste Management
Sector,Industrials
Country,United States
Market Cap,77433626624
Description,"Republic Services, Inc., together with its subsidiaries, offers environmental services in the United States and Canada. It is involved in the collection and processing of recyclable, solid waste, and industrial waste materials; transportation and disposal of non-hazardous and hazardous waste streams; and other environmental solutions. Its residential collection services include curbside collection of material for transport to transfer stations, landfills, recycling centers, and organics processing facilities; supply of recycling and waste containers; and renting of compactors. The company also engages in the processing and sale of old corrugated containers, old newsprint, aluminum, glass, and other materials; and provision of landfill services. It serves small-container, large-container, and residential customers. The company was incorporated in 1996 and is based in Phoenix, Arizona."
Website,https://www.republicservices.com
Full Time Employees,42000
Currency,USD
Previous Close,244.96
Open,244.24
Bid,246.76
Ask,246.89
Day's Range,243.79 - 247.85
52 Week Range,180.92 - 253.54
Volume,1248105
Avg. Volume,1372603
Market Cap (intraday),77433626624
Beta (5Y Monthly),0.664
PE Ratio (TTM),37.317772
EPS (TTM),6.64
Earnings Date,1745525403
Forward Dividend & Yield,2.32 (0.94)
Ex-Dividend Date,1751414400
1y Target Est,253.516
