Attribute,Value
Symbol,CCI
Name,Crown Castle Inc.
Industry,REIT - Specialty
Sector,Real Estate
Country,United States
Market Cap,44556165120
Description,"Crown Castle owns, operates and leases more than 40,000 cell towers and approximately 90,000 route miles of fiber supporting small cells and fiber solutions across every major U.S. market. This nationwide portfolio of communications infrastructure connects cities and communities to essential data, technology and wireless service - bringing information, ideas and innovations to the people and businesses that need them."
Website,https://www.crowncastle.com
Full Time Employees,3900
Currency,USD
Previous Close,100.77
Open,101.14
Bid,100.2
Ask,102.33
Day's Range,100.7862 - 102.35
52 Week Range,84.2 - 120.92
Volume,1753717
Avg. Volume,3616753
Market Cap (intraday),44556165120
Beta (5Y Monthly),0.948
PE Ratio (TTM),
EPS (TTM),-9.01
Earnings Date,1746044122
Forward Dividend & Yield,6.26 (6.12)
Ex-Dividend Date,1741910400
1y Target Est,114.35294
