Attribute,Value
Symbol,TMO
Name,Thermo Fisher Scientific Inc
Industry,Diagnostics & Research
Sector,Healthcare
Country,United States
Market Cap,155550187520
Description,"Thermo Fisher Scientific Inc. provides life sciences solutions, analytical instruments, specialty diagnostics, and laboratory products and biopharma services in the North America, Europe, Asia-Pacific, and internationally. The company's Life Sciences Solutions segment offers reagents, instruments, and consumables for biological and medical research, discovery and production of drugs and vaccines, as well as diagnosis of infections and diseases. Its Analytical Instruments segment provides instruments, consumables, software, and services for pharmaceutical, biotechnology, academic, government, environmental, and other research and industrial markets, as well as clinical laboratories. The company's Specialty Diagnostics segment includes clinical diagnostics offering liquid, ready-to-use, and lyophilized immunodiagnostic reagent kits, as well as calibrators, controls, protein detection assays, and instruments; immunodiagnostics offers develops, manufactures, and markets complete blood test systems to support the clinical diagnosis and monitoring of allergy, asthma, and autoimmune diseases; microbiology offers dehydrated and prepared culture media, collection and transport systems, instrumentation, and consumables; transplant diagnostics products include human leukocyte antigen typing and testing for organ transplant market; and healthcare market channel offers consumables, diagnostic kits and reagents, equipment, instruments, solutions, and services. Its Laboratory Products and Biopharma Services segment provides laboratory products, research and safety market channel, and pharma services and clinical research. It offers products and services through a direct sales force, customer-service professionals, electronic commerce, and third-party distributors under Thermo Scientific; Applied Biosystems; Invitrogen; Fisher Scientific; Unity Lab Services; and Patheon and PPD. Thermo Fisher Scientific Inc. was founded in 1956 and is headquartered in Waltham, Massachusetts."
Website,https://www.thermofisher.com
Full Time Employees,125000
Currency,USD
Previous Close,404.93
Open,405.0
Bid,401.0
Ask,410.0
Day's Range,401.67 - 412.6
52 Week Range,390.5 - 627.88
Volume,2150349
Avg. Volume,2437474
Market Cap (intraday),155550187520
Beta (5Y Monthly),0.826
PE Ratio (TTM),24.153576
EPS (TTM),17.06
Earnings Date,1745402400
Forward Dividend & Yield,1.72 (0.42)
Ex-Dividend Date,1741910400
1y Target Est,570.1743
