Attribute,Value
Symbol,OTIS
Name,Otis Worldwide Corporation
Industry,Specialty Industrial Machinery
Sector,Industrials
Country,United States
Market Cap,39029608448
Description,"Otis Worldwide Corporation engages in manufacturing, installation, and servicing of elevators and escalators in the United States, China, and internationally. The company operates through two segments, New Equipment and Service. The New Equipment segment designs, manufactures, sells, and installs a range of passenger and freight elevators, as well as escalators and moving walkways for residential and commercial buildings, and infrastructure projects. This segment serves real-estate and building developers, and general contractors. It sells its products directly to customers, as well as through agents and distributors. The Service segment performs maintenance and repair services, as well as modernization services to upgrade elevators and escalators. Otis Worldwide Corporation was founded in 1853 and is headquartered in Farmington, Connecticut."
Website,https://www.otis.com
Full Time Employees,72000
Currency,USD
Previous Close,97.44
Open,97.85
Bid,98.68
Ask,98.71
Day's Range,97.49 - 98.91
52 Week Range,89.7 - 106.828
Volume,3716210
Avg. Volume,2987944
Market Cap (intraday),39029608448
Beta (5Y Monthly),1.002
PE Ratio (TTM),25.887434
EPS (TTM),3.82
Earnings Date,1745404118
Forward Dividend & Yield,1.68 (1.7)
Ex-Dividend Date,1747353600
1y Target Est,101.85714
