Attribute,Value
Symbol,AES
Name,The AES Corporation
Industry,Utilities - Diversified
Sector,Utilities
Country,United States
Market Cap,8692580352
Description,"The AES Corporation, together with its subsidiaries, operates as a power generation and utility company in the United States and internationally. The company owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries; owns and/or operates utilities to generate or purchase, distribute, transmit, and sell electricity to end-user customers in the residential, commercial, industrial, and governmental sectors; and generates and sells electricity on the wholesale market. It uses various fuels and technologies to generate electricity, such as coal, gas, hydro, wind, solar, and biomass, as well as renewables comprising energy storage and landfill gas. The company owns and/or operates a generation portfolio of approximately 32,109 megawatts and distributes power to 2.7 million customers. The company was formerly known as Applied Energy Services, Inc. and changed its name to The AES Corporation in April 2000. The AES Corporation was incorporated in 1981 and is headquartered in Arlington, Virginia."
Website,https://www.aes.com
Full Time Employees,9100
Currency,USD
Previous Close,12.4
Open,12.51
Bid,12.01
Ask,12.25
Day's Range,12.135 - 12.51
52 Week Range,9.57 - 22.21
Volume,13411479
Avg. Volume,15714020
Market Cap (intraday),8692580352
Beta (5Y Monthly),0.938
PE Ratio (TTM),6.6358695
EPS (TTM),1.84
Earnings Date,1746133205
Forward Dividend & Yield,0.7 (5.71)
Ex-Dividend Date,1746057600
1y Target Est,13.93923
