Attribute,Value
Symbol,XEL
Name,Xcel Energy Inc.
Industry,Utilities - Regulated Electric
Sector,Utilities
Country,United States
Market Cap,41745960960
Description,"Xcel Energy Inc., through its subsidiaries, engages in the generation, purchasing, transmission, distribution, and sale of electricity in the United States. It operates through Regulated Electric Utility and Regulated Natural Gas Utility segments. The company generates electricity through wind, nuclear, hydroelectric, biomass, and solar energy sources, as well as coal, natural gas, oil, wood, and refuse-derived fuels. It also purchases, transports, distributes, and sells natural gas to retail customers, as well as transports customer-owned natural gas. In addition, the company develops and leases natural gas pipelines, and storage and compression facilities; and invests in rental housing projects and nonregulated assets, as well as procures equipment for the construction of renewable generation facilities. It serves residential, commercial, and industrial customers in the portions of Colorado, Michigan, Minnesota, New Mexico, North Dakota, South Dakota, Texas, and Wisconsin. Xcel Energy Inc. was formerly known as Northern States Power company. The company was incorporated in 1909 and is headquartered in Minneapolis, Minnesota."
Website,https://mn.my.xcelenergy.com/s/
Full Time Employees,11380
Currency,USD
Previous Close,71.26
Open,71.3
Bid,67.57
Ask,75.2
Day's Range,70.97 - 72.56
52 Week Range,51.97 - 73.38
Volume,7111838
Avg. Volume,4132546
Market Cap (intraday),41745960960
Beta (5Y Monthly),0.397
PE Ratio (TTM),21.288235
EPS (TTM),3.4
Earnings Date,1745489400
Forward Dividend & Yield,2.28 (3.15)
Ex-Dividend Date,1741910400
1y Target Est,75.1875
