Attribute,Value
Symbol,GPC
Name,Genuine Parts Company
Industry,Auto Parts
Sector,Consumer Cyclical
Country,United States
Market Cap,17858109440
Description,"Genuine Parts Company distributes automotive and industrial replacement parts. It operates in two segments, Automotive Parts Group and Industrial Parts Group. The company distributes automotive parts, accessories and solutions and replacement parts for hybrid and electric vehicles, trucks, SUVs, buses, motorcycles, farm equipment, and heavy duty equipment; and equipment parts and technologies. It also offers automotive parts, including brakes, batteries, filters, engine components, tools, accessories, and fluids; custom services, such as paint mixing, hydraulic hose assembly, battery testing, and key cutting; and accessories, tools, and equipment for servicing heavy duty and diesel vehicles, as well as operates service and mechanical repair centers for heavy vehicles. In addition, the company operates independent repair shops and auto care centers under the NAPA brand; and NAPA online, an online platform to browse, purchase, and have automotive products, as well as provides DIY workshops and training sessions to customers. Further, it provides abrasives, adhesives, sealants and tape, bearings, chemicals, cutting tools, electrical, facility maintenance, hose and fittings, hydraulics, janitorial, mechanical power transmission, pneumatics, process pumps and equipment, safety, seals and gaskets, tools and testing instruments, as well as inventory management, asset repair and tracking, vendor managed inventory, radio frequency identification asset management, gearbox and fluid power assembly and repair, process pump assembly and repair, drive shaft repair, electrical panel assembly and repair, and hose and gasket manufacture and assembly services. The company was incorporated in 1928 and is headquartered in Atlanta, Georgia."
Website,https://www.genpt.com
Full Time Employees,63000
Currency,USD
Previous Close,127.48
Open,127.63
Bid,128.51
Ask,128.68
Day's Range,127.465 - 129.58
52 Week Range,104.01 - 153.44
Volume,2062783
Avg. Volume,1588209
Market Cap (intraday),17858109440
Beta (5Y Monthly),0.769
PE Ratio (TTM),21.128078
EPS (TTM),6.09
Earnings Date,1745319305
Forward Dividend & Yield,4.12 (3.2)
Ex-Dividend Date,1749168000
1y Target Est,131.056
