Attribute,Value
Symbol,ALGN
Name,"Align Technology, Inc."
Industry,Medical Instruments & Supplies
Sector,Healthcare
Country,United States
Market Cap,13648162816
Description,"Align Technology, Inc. designs, manufactures, and markets Invisalign clear aligners, Vivera retainers, and iTero intraoral scanners and services in the United States, Switzerland, and internationally. The Clear Aligner segment offers comprehensive products, including Invisalign comprehensive package to treat adults and teens from mild to severe malocclusion and features, and orthodontic needs of teenage or younger patients; and Invisalign First Phase I and Invisalign First Comprehensive Phase 2 package for younger patients generally between the ages of six and ten years with a mixture of primary/baby and permanent teeth. This segment also provides Invisalign express, Invisalign lite, and Invisalign moderate; as well as Invisalign Go, Invisalign Go express, and Invisalign Go Plus; retention products, Invisalign training, adjusting tools used by dental professionals during treatment, ancillary Invisalign accessory products, and other oral health products; Invisalign Professional Whitening system; Invisalign Palatal Expander, a 3D printed orthodontic device; and 3D printing solutions. The Imaging Systems and CAD/CAM Services segment offers iTero intraoral scanning system, a single hardware platform for restorative or orthodontic procedures; exocad, a computer-aided design and computer-aided manufacturing (CAD/CAM) software; orthodontist software for digital records storage, orthodontic diagnosis, and fabrication of printed models and retainers; and restorative software for general practitioner dentists, prosthodontists, periodontists, and oral surgeons. This segment also provides Invisalign outcome simulator, a chair-side and cloud-based application for the iTero scanner; Invisalign progress assessment tool; Align Oral Health Suite, a digital interface for dental consultations; iTero TimeLapse technology for doctors or practitioners to compare a patient's historic 3D scans to the present-day scan; and subscription software, disposables, rents scanners, and pay per scan services. The company was incorporated in 1997 and is headquartered in Tempe, Arizona."
Website,https://www.aligntech.com
Full Time Employees,21200
Currency,USD
Previous Close,186.72
Open,187.34
Bid,170.31
Ask,200.86
Day's Range,183.32 - 188.34
52 Week Range,141.74 - 272.17
Volume,684640
Avg. Volume,1283446
Market Cap (intraday),13648162816
Beta (5Y Monthly),1.683
PE Ratio (TTM),34.234543
EPS (TTM),5.5
Earnings Date,1753905600
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,227.30267
