Attribute,Value
Symbol,MS
Name,Morgan Stanley
Industry,Capital Markets
Sector,Financial Services
Country,United States
Market Cap,212059013120
Description,"Morgan Stanley, a financial holding company, provides various financial products and services to governments, financial institutions, and individuals in the Americas, Asia, Europe, Middle East, and Africa. The company operates through Institutional Securities, Wealth Management, and Investment Management segments. It offers capital raising and financial advisory services, including services related to the underwriting of debt, equity, and other securities, as well as advice on mergers and acquisitions, restructurings, and project finance. It also provides equity and fixed income products comprising sales, financing, prime brokerage, and market-making services; Asia wealth management; business-related investments services; originating corporate and commercial real estate loans, secured lending facilities, and extending securities; and research. In addition, the company offers financial advisor-led brokerage, custody, and administrative and investment advisory services; self-directed brokerage services; financial and wealth planning services; stock plan administration; securities-based lending, residential and commercial real estate loans, and other lending products; banking; and retirement plan services. Further, it provides equity, fixed income, alternatives and solutions, and liquidity and overlay services to benefit/defined contribution plans, foundations, endowments, government entities, sovereign wealth funds, insurance companies, third-party fund sponsors, corporations, and individuals. The company was founded in 1924 and is headquartered in New York, New York."
Website,https://www.morganstanley.com
Full Time Employees,81000
Currency,USD
Previous Close,132.51
Open,132.28
Bid,132.41
Ask,131.89
Day's Range,131.79 - 132.98
52 Week Range,90.94 - 142.03
Volume,6299962
Avg. Volume,8037271
Market Cap (intraday),212059013120
Beta (5Y Monthly),1.3
PE Ratio (TTM),15.495896
EPS (TTM),8.53
Earnings Date,1752669000
Forward Dividend & Yield,3.7 (2.8)
Ex-Dividend Date,1745971200
1y Target Est,124.12632
