Attribute,Value
Symbol,EXR
Name,Extra Space Storage Inc
Industry,REIT - Industrial
Sector,Real Estate
Country,United States
Market Cap,33624702976
Description,"Extra Space Storage Inc., headquartered in Salt Lake City, Utah, is a self-administered and self-managed REIT and a member of the S&P 500. As of March 31, 2025, the Company owned and/or operated 4,099 self-storage stores in 43 states and Washington, D.C. The Company's stores comprise approximately 2.8 million units and approximately 315.0 million square feet of rentable space operating under the Extra Space brand. The Company offers customers a wide selection of conveniently located and secure storage units across the country, including boat storage, RV storage and business storage. It is the largest operator of self-storage properties in the United States."
Website,https://www.extraspace.com
Full Time Employees,8012
Currency,USD
Previous Close,148.58
Open,148.65
Bid,143.52
Ask,157.0
Day's Range,148.53 - 151.89
52 Week Range,121.03 - 184.87
Volume,646593
Avg. Volume,1224198
Market Cap (intraday),33624702976
Beta (5Y Monthly),1.154
PE Ratio (TTM),35.37529
EPS (TTM),4.29
Earnings Date,1745957714
Forward Dividend & Yield,6.48 (4.27)
Ex-Dividend Date,1741910400
1y Target Est,162.36842
