Attribute,Value
Symbol,COF
Name,Capital One Financial Corporati
Industry,Credit Services
Sector,Financial Services
Country,United States
Market Cap,75562475520
Description,"Capital One Financial Corporation operates as the financial services holding company for the Capital One, National Association, which engages in the provision of various financial products and services in the United States, Canada, and the United Kingdom. It operates through three segments: Credit Card, Consumer Banking, and Commercial Banking. The company accepts checking accounts, money market deposits, negotiable order of withdrawals, savings deposits, and time deposits. Its loan products include credit card loans; auto and retail banking loans; and commercial and multifamily real estate, and commercial and industrial loans. The company offers credit and debit card products; online direct banking services; and provides advisory, capital markets, treasury management, and depository services. It serves consumers, small businesses, and commercial clients through digital channels, branches, cafés, and other distribution channels located in New York, Louisiana, Texas, Maryland, Virginia, New Jersey, and California. Capital One Financial Corporation was founded in 1988 and is headquartered in McLean, Virginia."
Website,https://www.capitalone.com
Full Time Employees,53900
Currency,USD
Previous Close,197.5
Open,197.39
Bid,197.0
Ask,196.0
Day's Range,195.33 - 199.47
52 Week Range,128.23 - 210.67
Volume,18151590
Avg. Volume,5412863
Market Cap (intraday),75562475520
Beta (5Y Monthly),1.135
PE Ratio (TTM),16.587048
EPS (TTM),11.89
Earnings Date,1745352301
Forward Dividend & Yield,2.4 (1.22)
Ex-Dividend Date,1747958400
1y Target Est,212.296
